%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1487795972807,1487795975808,1487795985361
1,G4,G,4,1487795986891,1487795989892,1487795997722
2,3W5,W,35,1487795999242,1487796003743,1487796013528
3,T7L,LT,7,1487796015060,1487796019561,1487796029110
4,1JA,AJ,1,1487796030643,1487796035145,1487796043028
0,F4,F,4,1487796061495,1487796064497,1487796069329
1,1J,J,1,1487796070862,1487796073864,1487796078240
2,A7,A,7,1487796079763,1487796082764,1487796088969
3,L1H,HL,1,1487796090497,1487796094998,1487796101456
4,T2S,ST,2,1487796102981,1487796107483,1487796115698
5,K43,K,34,1487796117232,1487796121733,1487796128749
6,R5B2,BT,25,1487796130282,1487796136284,1487796151735
7,N3L9,LN,39,1487796153267,1487796159269,1487796166884
8,5V8P,BV,58,1487796168418,1487796174419,1487796191769
9,4M7S1,MS,147,1487796193270,1487796200771,1487796208470
10,L3E1D,CDM,13,1487796210004,1487796217505,1487796245555
11,9M6K2,MK,269,1487796247089,1487796254591,1487796271154
12,D1B5R9,DHM,159,1487796272674,1487796281675,1487796298020
13,G9T2A5,GMT,159,1487796299542,1487796308544,1487796329287
14,3W5A1G,AGT,135,1487796330810,1487796339812,1487796362704
