%Recollect Version 2.3. Scene/Level: , Game Number: 007
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":Bear=0,Sheep=1,Duck=2,Elephant=3,Turtle=4,Owl=5,Goat=6,Seal=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
7,5,22,3,1,0,1,1487025341642,-1,1487025341112
7,5,23,3,1,0,0,1487025344676,-1,1487025344147
7,6,1,1,1,3,5,1487025363244,-1,1487025362744
7,6,2,1,1,0,0,1487025366310,-1,1487025365781
7,6,3,1,1,0,7,1487025369344,-1,1487025368813
7,6,4,1,0,1,7,1487025372377,-1,1487025371847
7,6,5,1,1,1,7,1487025375411,1487025377612,1487025374880
7,6,6,1,0,0,5,1487025378478,1487025380578,1487025377947
7,6,7,1,1,1,5,1487025381512,1487025382778,1487025381014
7,6,8,1,1,0,1,1487025384578,-1,1487025384048
7,6,9,1,1,0,4,1487025387612,-1,1487025387081
7,6,10,1,1,0,7,1487025390645,-1,1487025390148
7,6,11,1,1,0,3,1487025393679,-1,1487025393182
7,6,12,1,1,0,5,1487025396746,-1,1487025396215
7,6,13,1,1,0,1,1487025399812,-1,1487025399282
7,6,14,1,1,0,7,1487025402879,-1,1487025402348
7,6,15,1,1,0,5,1487025405913,-1,1487025405382
7,6,16,1,1,0,4,1487025408947,-1,1487025408415
7,6,17,1,1,1,4,1487025412013,1487025412681,1487025411482
7,6,18,1,1,0,1,1487025415047,-1,1487025414549
7,6,19,1,1,1,1,1487025418113,1487025418714,1487025417583
7,6,20,1,0,1,1,1487025421147,-1,1487025420616
7,6,21,1,1,0,6,1487025424180,-1,1487025423651
7,7,1,2,1,3,1,1487025438248,-1,1487025437715
7,7,2,2,1,3,2,1487025441315,-1,1487025440786
7,7,3,2,1,0,0,1487025444382,-1,1487025443851
7,7,4,2,1,0,1,1487025447415,-1,1487025446884
