%Recollect Version 2.3. Scene/Level: , Game Number: 006
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":RV=0,Truck=1,FireTruck=2,Ambulance=3,Cab=4,Schoolbus=5,Limo=6,Police=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,5,9,3,1,0,4,1488396290659,-1,1488396290129
6,5,10,3,1,1,2,1488396293693,1488396294393,1488396293163
6,5,11,3,0,0,0,1488396296726,1488396297993,1488396296196
6,5,12,3,1,1,4,1488396299760,1488396300493,1488396299230
6,5,13,3,1,0,6,1488396302827,-1,1488396302297
6,5,14,3,1,0,1,1488396305860,-1,1488396305364
6,5,15,3,1,1,4,1488396308894,1488396309794,1488396308397
6,5,16,3,1,0,2,1488396311927,-1,1488396311399
6,5,17,3,1,0,0,1488396314961,-1,1488396314430
6,5,18,3,1,1,4,1488396318028,1488396319094,1488396317497
6,5,19,3,1,0,3,1488396321094,-1,1488396320564
6,5,20,3,1,0,1,1488396324128,-1,1488396323597
6,5,21,3,1,0,6,1488396327128,-1,1488396326631
6,5,22,3,1,1,3,1488396330162,1488396331295,1488396329664
6,5,23,3,1,0,2,1488396333228,-1,1488396332698
6,6,1,4,1,3,5,1488396338462,-1,1488396337930
6,6,2,4,1,3,6,1488396341496,-1,1488396340998
6,6,3,4,1,3,3,1488396344562,-1,1488396344032
6,6,4,4,1,3,2,1488396347596,-1,1488396347065
6,6,5,4,1,1,5,1488396350629,1488396352030,1488396350099
6,6,6,4,1,0,1,1488396353663,-1,1488396353132
6,6,7,4,1,1,3,1488396356697,1488396357397,1488396356166
6,6,8,4,1,1,2,1488396359730,1488396360330,1488396359199
6,6,9,4,1,0,3,1488396362764,-1,1488396362233
6,6,10,4,1,1,1,1488396365830,1488396366631,1488396365299
6,6,11,4,1,0,6,1488396368898,-1,1488396368367
6,6,12,4,1,0,0,1488396371964,-1,1488396371433
6,6,13,4,1,0,5,1488396374998,-1,1488396374467
6,6,14,4,1,0,5,1488396378032,-1,1488396377502
6,6,15,4,1,0,4,1488396381098,-1,1488396380567
6,6,16,4,1,0,4,1488396384131,-1,1488396383601
6,6,17,4,1,0,6,1488396387198,-1,1488396386667
6,6,18,4,1,0,3,1488396390265,-1,1488396389734
6,6,19,4,1,0,6,1488396393298,-1,1488396392768
6,6,20,4,1,0,1,1488396396365,-1,1488396395836
6,6,21,4,0,0,0,1488396399399,1488396400566,1488396398869
6,6,22,4,1,1,3,1488396402466,1488396403366,1488396401935
6,6,23,4,1,1,6,1488396405533,1488396406600,1488396405002
6,6,24,4,1,0,2,1488396408599,-1,1488396408069
6,7,1,5,1,3,5,1488396413100,-1,1488396412568
6,7,2,5,1,3,7,1488396416166,-1,1488396415635
6,7,3,5,1,3,6,1488396419200,-1,1488396418669
6,7,4,5,1,3,1,1488396422234,-1,1488396421703
6,7,5,5,1,3,2,1488396425267,-1,1488396424770
6,7,6,5,1,1,5,1488396428334,1488396429567,1488396427804
6,7,7,5,1,0,4,1488396431367,-1,1488396430870
6,7,8,5,1,0,3,1488396434434,-1,1488396433904
6,7,9,5,1,0,0,1488396437468,-1,1488396436937
6,7,10,5,1,1,2,1488396440535,1488396442535,1488396440004
6,7,11,5,1,1,5,1488396443568,1488396444269,1488396443071
6,7,12,5,1,1,4,1488396446635,1488396447402,1488396446104
6,7,13,5,0,0,6,1488396449668,1488396451136,1488396449137
6,7,14,5,0,0,6,1488396452702,1488396453435,1488396452172
6,7,15,5,1,0,1,1488396455735,-1,1488396455205
6,7,16,5,1,0,1,1488396458769,-1,1488396458239
6,7,17,5,1,1,4,1488396461769,1488396462803,1488396461273
6,7,18,5,1,0,3,1488396464836,-1,1488396464304
6,7,19,5,1,1,6,1488396467903,1488396469170,1488396467373
6,7,20,5,0,0,0,1488396470936,1488396471570,1488396470405
6,7,21,5,1,0,3,1488396473970,-1,1488396473439
6,7,22,5,0,0,2,1488396477036,1488396478337,1488396476505
6,7,23,5,1,0,7,1488396480103,-1,1488396479573
6,7,24,5,1,0,4,1488396483170,-1,1488396482639
6,7,25,5,1,0,4,1488396486204,-1,1488396485673
6,8,1,1,1,3,3,1488396491104,-1,1488396490571
6,8,2,1,1,0,6,1488396494138,-1,1488396493607
6,8,3,1,1,1,6,1488396497171,1488396497738,1488396496640
6,8,4,1,1,0,0,1488396500205,-1,1488396499674
6,8,5,1,1,0,1,1488396503238,-1,1488396502708
6,8,6,1,1,0,2,1488396506239,-1,1488396505741
6,8,7,1,1,1,2,1488396509305,1488396510039,1488396508775
6,8,8,1,1,0,4,1488396512338,-1,1488396511808
6,8,9,1,1,0,6,1488396515372,-1,1488396514842
6,8,10,1,1,0,7,1488396518373,-1,1488396517875
6,8,11,1,1,1,7,1488396521439,1488396522172,1488396520909
6,8,12,1,1,0,3,1488396524473,-1,1488396523942
6,8,13,1,1,0,6,1488396527506,-1,1488396526976
6,8,14,1,1,1,6,1488396530539,1488396531007,1488396530009
6,8,15,1,1,0,5,1488396533606,-1,1488396533075
6,8,16,1,1,1,5,1488396536673,1488396537307,1488396536142
6,8,17,1,1,1,5,1488396539707,1488396540508,1488396539176
6,8,18,1,1,0,1,1488396542741,-1,1488396542243
6,8,19,1,1,0,3,1488396545807,-1,1488396545277
6,8,20,1,1,0,2,1488396548874,-1,1488396548344
6,8,21,1,1,0,1,1488396551907,-1,1488396551377
6,9,1,2,1,3,7,1488396556375,-1,1488396555842
6,9,2,2,1,3,6,1488396559408,-1,1488396558911
6,9,3,2,1,0,0,1488396562475,-1,1488396561944
6,9,4,2,1,2,0,1488396565508,-1,1488396564977
6,9,5,2,1,0,2,1488396568575,-1,1488396568045
6,9,6,2,1,0,6,1488396571608,-1,1488396571111
6,9,7,2,1,0,3,1488396574676,-1,1488396574144
6,9,8,2,1,1,6,1488396577709,1488396578576,1488396577179
6,9,9,2,1,1,3,1488396580709,1488396581544,1488396580211
6,9,10,2,1,1,6,1488396583776,1488396584410,1488396583245
6,9,11,2,1,2,6,1488396586809,-1,1488396586279
6,9,12,2,1,1,6,1488396589843,1488396590443,1488396589312
6,9,13,2,1,0,1,1488396592910,-1,1488396592379
6,9,14,2,1,2,1,1488396595977,-1,1488396595446
6,9,15,2,1,1,1,1488396599010,1488396599678,1488396598480
6,9,16,2,1,2,0,1488396602077,-1,1488396601546
6,9,17,2,1,0,5,1488396605144,-1,1488396604613
6,9,18,2,1,2,1,1488396608177,-1,1488396607647
6,9,19,2,1,0,2,1488396611211,-1,1488396610680
6,9,20,2,1,0,3,1488396614244,-1,1488396613714
6,9,21,2,1,1,2,1488396617278,1488396618112,1488396616780
6,9,22,2,1,2,2,1488396620345,-1,1488396619814
6,10,1,3,1,3,0,1488396624878,-1,1488396624345
6,10,2,3,1,3,7,1488396627912,-1,1488396627380
6,10,3,3,1,3,3,1488396630946,-1,1488396630414
6,10,4,3,1,2,7,1488396634012,-1,1488396633481
6,10,5,3,1,1,7,1488396637046,1488396637846,1488396636516
6,10,6,3,1,0,2,1488396640112,-1,1488396639582
6,10,7,3,1,0,5,1488396643146,-1,1488396642616
6,10,8,3,1,2,2,1488396646213,-1,1488396645682
6,10,9,3,1,2,5,1488396649246,-1,1488396648748
6,10,10,3,1,1,5,1488396652314,1488396652846,1488396651783
6,10,11,3,1,0,6,1488396655347,-1,1488396654850
6,10,12,3,0,0,7,1488396658381,1488396659680,1488396657883
6,10,13,3,1,1,5,1488396661414,1488396662180,1488396660916
6,10,14,3,1,1,6,1488396664448,1488396666347,1488396663950
6,10,15,3,1,0,4,1488396667481,-1,1488396666984
6,10,16,3,1,0,1,1488396670515,-1,1488396670017
6,10,17,3,1,0,2,1488396673581,-1,1488396673050
6,10,18,3,1,1,4,1488396676614,1488396677215,1488396676117
6,10,19,3,1,0,7,1488396679648,-1,1488396679150
6,10,20,3,1,2,1,1488396682681,-1,1488396682184
6,10,21,3,1,2,2,1488396685748,-1,1488396685218
6,10,22,3,1,1,7,1488396688782,1488396689715,1488396688251
6,10,23,3,1,2,2,1488396691816,-1,1488396691284
6,11,1,4,1,3,1,1488396697016,-1,1488396696483
6,11,2,4,1,3,0,1488396700082,-1,1488396699552
6,11,3,4,1,3,5,1488396703116,-1,1488396702585
6,11,4,4,1,3,3,1488396706183,-1,1488396705652
6,11,5,4,1,1,1,1488396709250,1488396710283,1488396708719
6,11,6,4,1,2,5,1488396712283,-1,1488396711752
6,11,7,4,1,2,0,1488396715317,-1,1488396714819
6,11,8,4,1,1,3,1488396718384,1488396719484,1488396717853
6,11,9,4,1,0,7,1488396721417,-1,1488396720918
6,11,10,4,1,0,2,1488396724450,-1,1488396723919
6,11,11,4,0,2,5,1488396727484,1488396728351,1488396726954
6,11,12,4,1,0,4,1488396730517,-1,1488396729988
6,11,13,4,1,0,5,1488396733584,-1,1488396733053
6,11,14,4,1,2,5,1488396736618,-1,1488396736087
6,11,15,4,1,1,5,1488396739651,1488396740385,1488396739119
6,11,16,4,1,0,6,1488396742651,-1,1488396742154
6,11,17,4,1,1,5,1488396745685,1488396746385,1488396745187
6,11,18,4,1,1,5,1488396748752,1488396749352,1488396748221
6,11,19,4,1,2,6,1488396751785,-1,1488396751255
6,11,20,4,1,0,3,1488396754852,-1,1488396754322
6,11,21,4,1,1,5,1488396757886,1488396758853,1488396757355
6,11,22,4,1,0,4,1488396760919,-1,1488396760389
6,11,23,4,1,2,5,1488396763953,-1,1488396763423
6,11,24,4,1,0,1,1488396766954,-1,1488396766456
6,12,1,5,1,3,6,1488396771486,-1,1488396770954
6,12,2,5,1,3,3,1488396774553,-1,1488396774023
6,12,3,5,1,3,2,1488396777554,-1,1488396777056
6,12,4,5,1,3,1,1488396780587,-1,1488396780055
6,12,5,5,1,3,0,1488396783654,-1,1488396783123
6,12,6,5,1,1,6,1488396786687,1488396787688,1488396786158
6,12,7,5,1,0,0,1488396789721,-1,1488396789190
6,12,8,5,0,1,2,1488396792755,-1,1488396792257
6,12,9,5,0,2,0,1488396795822,1488396796888,1488396795290
6,12,10,5,0,2,1,1488396798888,1488396800556,1488396798357
6,12,11,5,1,0,7,1488396801888,-1,1488396801391
6,12,12,5,0,1,0,1488396804922,-1,1488396804424
6,12,13,5,0,0,1,1488396807989,1488396809022,1488396807458
6,12,14,5,0,0,3,1488396811022,1488396811789,1488396810491
6,12,15,5,1,2,0,1488396814056,-1,1488396813525
6,12,16,5,1,0,5,1488396817122,-1,1488396816592
6,12,17,5,1,2,7,1488396820189,-1,1488396819658
6,12,18,5,1,1,1,1488396823223,1488396824423,1488396822725
6,12,19,5,1,1,3,1488396826289,1488396827756,1488396825759
6,12,20,5,1,0,2,1488396829323,-1,1488396828792
6,12,21,5,1,0,1,1488396832356,-1,1488396831826
6,12,22,5,0,2,5,1488396835390,1488396837890,1488396834860
6,12,23,5,0,0,5,1488396838424,1488396839790,1488396837896
6,12,24,5,1,1,3,1488396841457,1488396843024,1488396840927
6,12,25,5,0,2,1,1488396844524,1488396845691,1488396843994
