%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 1
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:AlgorithmCondition,BlockNumber,Trial,CurrentNLevel,LureRate,IsCorrect,StimulusType,StimulusColor,PresentationTime(R),PresentationTime(A),ResponseTime(R),ResponseTime(A),ExpireTime(R),ExpireTime(A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,Gray=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,LessThanN=3,
3,1,11,2,0.3,1,1,2,226.1663,1488312220432,226.8661,1488312221132,225.6332,1488312219904
3,1,12,2,0.3,1,1,5,229.2334,1488312223499,229.8663,1488312224132,228.6664,1488312222936
3,1,13,2,0.3,1,2,5,232.2999,1488312226565,-1,-1,231.7664,1488312226036
3,1,14,2,0.3,1,0,7,235.3002,1488312229566,-1,-1,234.7999,1488312229070
3,1,15,2,0.3,1,1,5,238.3337,1488312232599,238.9669,1488312233233,237.8334,1488312232104
3,1,16,2,0.3,1,0,6,241.4005,1488312235666,-1,-1,240.8671,1488312235138
3,1,17,2,0.3,1,2,7,244.4672,1488312238733,-1,-1,243.9012,1488312238172
3,1,18,2,0.3,1,1,6,247.5007,1488312241766,248.0007,1488312242266,246.9673,1488312241238
3,1,19,2,0.3,1,2,6,250.5012,1488312244767,-1,-1,250.0008,1488312244271
3,1,20,2,0.3,1,2,7,253.5344,1488312247800,-1,-1,253.0016,1488312247271
3,1,21,2,0.3,1,1,6,256.6014,1488312250867,257.1679,1488312251434,256.0345,1488312250305
3,1,22,2,0.3,1,0,5,259.6685,1488312253935,-1,-1,259.1019,1488312253371
3,1,23,2,0.3,1,2,5,262.7017,1488312256967,-1,-1,262.1686,1488312256439
3,1,24,2,0.3,1,1,5,265.7684,1488312260034,266.6354,1488312260902,265.235,1488312259506
3,1,25,2,0.3,1,0,1,268.8021,1488312263068,-1,-1,268.2686,1488312262539
3,1,26,2,0.3,1,1,5,271.8687,1488312266134,272.5691,1488312266835,271.3354,1488312265605
3,1,27,2,0.3,1,1,1,274.9025,1488312269168,275.5689,1488312269835,274.3689,1488312268639
3,1,28,2,0.3,1,0,6,277.9691,1488312272235,-1,-1,277.4358,1488312271705
3,1,29,2,0.3,1,0,0,281.0359,1488312275301,-1,-1,280.4694,1488312274740
3,1,30,2,0.3,1,0,3,284.1029,1488312278368,-1,-1,283.5361,1488312277805
3,1,31,2,0.3,1,0,7,287.1364,1488312281402,-1,-1,286.603,1488312280873
3,1,32,2,0.3,1,2,0,290.2031,1488312284469,-1,-1,289.6365,1488312283907
3,1,33,2,0.3,1,1,7,293.2366,1488312287502,293.8699,1488312288136,292.7032,1488312286973
3,1,34,2,0.3,1,2,7,296.2701,1488312290536,-1,-1,295.7368,1488312290007
3,1,35,2,0.3,1,1,7,299.3036,1488312293569,299.837,1488312294103,298.7702,1488312293040
3,1,36,2,0.3,1,0,1,302.3706,1488312296636,-1,-1,301.8039,1488312296073
3,1,37,2,0.3,1,0,3,305.4373,1488312299703,-1,-1,304.9039,1488312299173
3,1,38,2,0.3,1,0,2,308.4712,1488312302737,-1,-1,307.9375,1488312302207
3,1,39,2,0.3,1,2,1,311.5376,1488312305803,-1,-1,311.0043,1488312305274
3,1,40,2,0.3,1,0,6,314.5712,1488312308837,-1,-1,314.0378,1488312308307
3,1,41,2,0.3,1,1,1,317.6047,1488312311870,318.4047,1488312312671,317.0712,1488312311342
3,2,0,3,0.3,1,3,0,359.1736,1488312353439,-1,-1,358.6088,1488312352881
3,2,1,3,0.3,1,3,6,362.2072,1488312356473,-1,-1,361.6738,1488312355945
3,2,2,3,0.3,1,3,4,365.2411,1488312359507,-1,-1,364.7072,1488312358977
3,2,3,3,0.3,1,0,5,368.3408,1488312362606,-1,-1,367.774,1488312362044
3,2,4,3,0.3,1,2,4,371.4077,1488312365673,-1,-1,370.841,1488312365112
3,2,5,3,0.3,1,1,4,374.4425,1488312368708,375.2078,1488312369475,373.941,1488312368212
3,2,6,3,0.3,1,2,4,377.508,1488312371774,-1,-1,376.9746,1488312371244
3,2,7,3,0.3,1,2,5,380.5416,1488312374807,-1,-1,380.0081,1488312374279
3,2,8,3,0.3,1,0,6,383.6083,1488312377874,-1,-1,383.0425,1488312377313
3,2,9,3,0.3,1,1,4,386.642,1488312380908,387.6084,1488312381874,386.1086,1488312380379
3,2,10,3,0.3,1,0,1,389.6754,1488312383941,-1,-1,389.1422,1488312383412
3,2,11,3,0.3,1,2,4,392.7424,1488312387008,-1,-1,392.1756,1488312386446
3,2,12,3,0.3,1,0,2,395.8091,1488312390075,-1,-1,395.2426,1488312389513
3,2,13,3,0.3,0,1,1,398.8759,1488312393141,-1,-1,398.3093,1488312392579
3,2,14,3,0.3,1,2,1,401.8769,1488312396143,-1,-1,401.3765,1488312395648
3,2,15,3,0.3,1,1,2,404.9771,1488312399243,405.5428,1488312399809,404.4097,1488312398680
3,2,16,3,0.3,1,2,2,408.0432,1488312402309,-1,-1,407.5097,1488312401780
3,2,17,3,0.3,0,1,1,411.0766,1488312405342,-1,-1,410.5432,1488312404813
3,2,18,3,0.3,1,2,1,414.1434,1488312408409,-1,-1,413.5768,1488312407847
3,2,19,3,0.3,0,2,1,417.1768,1488312411442,418.6105,1488312412876,416.6436,1488312410914
3,2,20,3,0.3,0,2,2,420.1771,1488312414443,421.1437,1488312415410,419.677,1488312413947
3,2,21,3,0.3,1,0,0,423.2773,1488312417543,-1,-1,422.7106,1488312416981
3,2,22,3,0.3,1,1,1,426.3441,1488312420610,427.1109,1488312421377,425.7778,1488312420048
3,2,23,3,0.3,1,2,1,429.3776,1488312423643,-1,-1,428.8442,1488312423115
3,2,24,3,0.3,1,0,7,432.4445,1488312426713,-1,-1,431.8781,1488312426148
3,2,25,3,0.3,1,0,5,435.478,1488312429743,-1,-1,434.9448,1488312429216
3,2,26,3,0.3,1,0,6,438.5118,1488312432777,-1,-1,437.9781,1488312432248
3,2,27,3,0.3,1,0,4,441.5784,1488312435844,-1,-1,441.0449,1488312435315
3,2,28,3,0.3,1,0,3,444.6785,1488312438944,-1,-1,444.112,1488312438384
3,2,29,3,0.3,0,2,4,447.7122,1488312441978,448.9124,1488312443178,447.1786,1488312441450
3,2,30,3,0.3,0,1,4,450.8125,1488312445078,-1,-1,450.2462,1488312444516
3,2,31,3,0.3,0,0,7,453.8792,1488312448145,455.5792,1488312449845,453.3457,1488312447615
3,2,32,3,0.3,1,1,4,456.9127,1488312451178,458.4792,1488312452745,456.3793,1488312450649
3,2,33,3,0.3,0,1,4,459.9796,1488312454245,-1,-1,459.446,1488312453716
3,2,34,3,0.3,1,1,7,463.0795,1488312457345,464.613,1488312458879,462.5129,1488312456782
3,2,35,3,0.3,1,0,0,466.113,1488312460379,-1,-1,465.5797,1488312459851
3,2,36,3,0.3,1,1,4,469.18,1488312463445,470.0799,1488312464346,468.6134,1488312462884
3,2,37,3,0.3,1,0,1,472.2466,1488312466512,-1,-1,471.6801,1488312465950
3,2,38,3,0.3,1,0,5,475.2801,1488312469546,-1,-1,474.7468,1488312469017
3,2,39,3,0.3,1,2,5,478.2805,1488312472546,-1,-1,477.7803,1488312472050
3,2,40,3,0.3,1,1,1,481.314,1488312475580,482.0139,1488312476280,480.7805,1488312475051
3,2,41,3,0.3,1,0,2,484.3474,1488312478613,-1,-1,483.814,1488312478086
