%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486160882831,1486160886001,1486160898736
1,G4,G,4,1486160900249,1486160903452,1486160910901
2,3W5,W,35,1486160912433,1486160917336,1486160923408
3,T7L,LT,7,1486160924934,1486160929637,1486160938026
4,1JA,AJ,1,1486160939551,1486160944254,1486160950902
0,F4,F,4,1486160966136,1486160969139,1486160973723
1,1J,J,1,1486160975287,1486160978289,1486160982587
2,A7,A,7,1486160984087,1486160987089,1486160992901
3,L1H,HL,1,1486160994421,1486160999124,1486161009882
4,T2S,ST,2,1486161011439,1486161016108,1486161022832
5,K43,K,34,1486161024356,1486161028859,1486161033457
6,R5B2,BR,25,1486161034990,1486161040993,1486161050781
7,N3L9,LN,39,1486161052307,1486161058510,1486161073976
8,5V8P,PV,58,1486161075509,1486161082113,1486161091610
9,4M7S1,MS,147,1486161093143,1486161101046,1486161115211
10,L3E1D,EDL,13,1486161116744,1486161124647,1486161150363
11,9M6K2,KM,269,1486161151896,1486161159966,1486161171814
12,D1B5R9,BDR,159,1486161173348,1486161182517,1486161200608
13,G9T2A5,BGR,259,1486161202133,1486161211135,1486161224384
14,3W5A1G,BRW,135,1486161225917,1486161234888,1486161253738
15,B6H7A5K,ABKW,136,1486161255302,1486161265972,1486161303689
16,8H4R1C2,HWP,1236,1486161305188,1486161315691,1486161359508
17,C7B5N9Y,CRW,579,1486161361041,1486161371512,1486161390770
