%Recollect Version 2.3. Scene/Level: , Game Number: 003
%SymmetrySpan:Stage,TrailNum,SequenceLength,TargetSequence,ResponseSequence,SymmetrySequence,SymmetryResponses,ClearCount,TimeOfSequencePresentation,TimeOfSymmetryPresentation,TimeOfResponsePrompt,TimeOfResponseSubmission
3,0,2,C3,C3,,,0,1486150809247,,1486150811574,1486150814641
3,1,2,96,96,,,0,1486150816614,,1486150818974,1486150820975
3,2,3,A85,A85,,,0,1486150822981,,1486150826475,1486150829292
3,3,3,EF2,EF2,,,1,1486150831265,,1486150834792,1486150843409
10,0,0,,,0,0,0,1486150889413,1486150889413,1486150834792,1486150893512
10,1,0,,,1,1,0,1486150896264,1486150896264,1486150834792,1486150901679
10,2,0,,,0,0,0,1486150903648,1486150903647,1486150834792,1486150908879
10,3,0,,,1,1,0,1486150910848,1486150910848,1486150834792,1486150915513
10,4,0,,,0,0,0,1486150917482,1486150917481,1486150834792,1486150919913
10,5,0,,,0,0,0,1486150921882,1486150921882,1486150834792,1486150926380
10,6,0,,,0,0,0,1486150928349,1486150928349,1486150834792,1486150929947
10,7,0,,,1,1,0,1486150931916,1486150931916,1486150834792,1486150936214
10,8,0,,,0,0,0,1486150938183,1486150938183,1486150834792,1486150940548
10,9,0,,,1,1,0,1486150942516,1486150942516,1486150834792,1486150947415
10,10,0,,,1,1,0,1486150949383,1486150949383,1486150834792,1486150953549
10,11,0,,,1,1,0,1486150955517,1486150955517,1486150834792,1486150959282
10,12,0,,,0,0,0,1486150961251,1486150961251,1486150834792,1486150964216
10,13,0,,,1,1,0,1486150966184,1486150966184,1486150834792,1486150969783
10,14,0,,,0,0,0,1486150971785,1486150971785,1486150834792,1486150976149
10,15,0,,,0,0,0,1486150978118,1486150978118,1486150834792,1486150979783
13,0,2,08,08,11,11,0,1486151012175,1486151019443,1486151024576,1486151028686
13,1,2,86,86,10,10,0,1486151030660,1486151037827,1486151039760,1486151041620
13,2,2,69,69,01,01,0,1486151043594,1486151048994,1486151052060,1486151053521
14,0,3,821,821,111,11Z,0,1486151063828,1486151078463,1486151085063,1486151090073
14,1,2,17,17,00,00,0,1486151092280,1486151098914,1486151101881,1486151104840
14,2,5,2D3AF,1D29F,00110,00110,0,1486151107047,1486151128149,1486151130616,1486151138042
14,3,2,4A,4A,01,01,0,1486151140249,1486151145650,1486151147617,1486151150076
14,4,4,218D,418D,1011,1011,0,1486151152050,1486151165318,1486151167918,1486151170778
14,5,5,EABD4,EABD4,01101,01101,0,1486151172984,1486151189819,1486151194284,1486151197246
14,6,3,6C2,6C2,000,000,0,1486151199453,1486151207153,1486151208487,1486151213613
14,7,4,382C,382C,1000,1000,0,1486151215587,1486151231788,1486151233455,1486151236315
14,8,4,FACB,FACB,1100,1100,0,1486151238288,1486151250422,1486151254155,1486151256849
14,9,5,3F875,78F56,11010,11010,0,1486151258823,1486151276157,1486151277256,1486151282351
14,10,2,1F,5F,11,11,0,1486151284557,1486151292091,1486151294425,1486151297185
14,11,3,94E,94E,011,011,0,1486151299158,1486151308259,1486151309658,1486151312619
