%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1488394262463,1488394265431,1488394272281
1,G4,G,4,1488394273797,1488394276799,1488394282107
2,3W5,W,35,1488394283631,1488394288132,1488394293517
3,T7L,LT,7,1488394295048,1488394299550,1488394307551
4,1JA,AJ,1,1488394309082,1488394313584,1488394319007
0,F4,F,4,1488394322983,1488394325984,1488394330486
1,1J,J,1,1488394332017,1488394335018,1488394339785
2,A7,A,7,1488394341317,1488394344319,1488394348643
3,L1H,HL,1,1488394350168,1488394354669,1488394361102
4,T2S,ST,2,1488394362636,1488394367137,1488394374469
5,K43,K,34,1488394376003,1488394380505,1488394384457
6,R5B2,RB,25,1488394385987,1488394391988,1488394397175
7,N3L9,LN,39,1488394398704,1488394404705,1488394411375
8,5V8P,PV,58,1488394412905,1488394418907,1488394423674
9,4M7S1,MS,147,1488394425206,1488394432707,1488394440117
10,L3E1D,DEL,13,1488394441640,1488394449141,1488394467776
11,9M6K2,KM,269,1488394469308,1488394476810,1488394488104
12,D1B5R9,BDR,159,1488394489626,1488394498627,1488394505745
13,G9T2A5,AGT,259,1488394507277,1488394516279,1488394524818
14,3W5A1G,AGW,135,1488394526344,1488394535346,1488394541148
15,B6H7A5K,AGHK,567,1488394542679,1488394553181,1488394565723
16,8H4R1C2,CHR,148,1488394567247,1488394577749,1488394596382
17,C7B5N9Y,BHKY,157,1488394597882,1488394608384,1488394624219
