%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486159716978,1486159719979,1486159740170
1,G4,G,4,1486159741696,1486159744697,1486159749753
2,3W5,W,35,1486159751279,1486159755781,1486159761398
3,T7L,LT,7,1486159762930,1486159767432,1486159772932
4,1JA,AJ,1,1486159774464,1486159778966,1486159786203
0,L2,L,2,1486159792065,1486159795100,1486159798815
1,6P,P,6,1486159800349,1486159803350,1486159807022
2,B5,B,5,1486159808550,1486159811551,1486159816487
3,F7L,FL,7,1486159818017,1486159822518,1486159828704
4,R4D,DR,4,1486159830234,1486159834735,1486159839192
5,H18,H,18,1486159840718,1486159845220,1486159849846
6,T9A3,AT,39,1486159851369,1486159857370,1486159866536
7,V1J5,JV,15,1486159868069,1486159874071,1486159884087
8,7N4L,LN,47,1486159885621,1486159891623,1486159907398
9,8D6G1,DG,168,1486159908922,1486159916424,1486159927806
10,K2C7S,CKS,27,1486159929306,1486159936808,1486159953157
11,5P3Y9,PY,359,1486159954691,1486159962193,1486159974042
12,M4E7Q2,EMQ,247,1486159975575,1486159984578,1486160004816
13,W8H5F3,FHW,358,1486160006344,1486160015346,1486160037997
14,6G9A2S,AGS,269,1486160039529,1486160048531,1486160070747
15,R3B4Z1C,BCCR,134,1486160072281,1486160082783,1486160109901
16,5T9B4K3,BKT,3549,1486160111433,1486160121935,1486160157825
17,E1H8R4D,EDRH,148,1486160159352,1486160169854,1486160207794
