%Recollect Version 2.3. Scene/Level: , Game Number: 006
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":Bear=0,Sheep=1,Duck=2,Elephant=3,Turtle=4,Owl=5,Goat=6,Seal=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,5,9,3,1,0,4,1486145957262,-1,1486145956765
6,5,10,3,1,0,2,1486145960329,-1,1486145959800
6,5,11,3,1,0,6,1486145963363,-1,1486145962832
6,5,12,3,1,0,3,1486145966430,-1,1486145965899
6,5,13,3,1,0,5,1486145969463,-1,1486145968965
6,5,14,3,1,1,6,1486145972496,1486145973464,1486145971968
6,5,15,3,1,0,7,1486145975530,-1,1486145974999
6,5,16,3,0,1,5,1486145978597,-1,1486145978066
6,5,17,3,1,0,1,1486145981664,-1,1486145981133
6,5,18,3,1,0,1,1486145984731,-1,1486145984200
6,5,19,3,1,1,5,1486145987764,1486145989366,1486145987233
6,5,20,3,0,1,1,1486145990798,-1,1486145990268
6,5,21,3,0,0,6,1486145993864,1486145995698,1486145993333
6,5,22,3,0,0,7,1486145996899,1486145998198,1486145996368
6,5,23,3,1,1,1,1486145999931,1486146001799,1486145999400
6,6,1,1,1,3,6,1486146018499,-1,1486146017966
6,6,2,1,1,0,4,1486146021533,-1,1486146021002
6,6,3,1,1,0,3,1486146024600,-1,1486146024068
6,6,4,1,1,1,3,1486146027633,1486146028333,1486146027102
6,6,5,1,1,0,1,1486146030700,-1,1486146030169
6,6,6,1,1,1,1,1486146033733,1486146034400,1486146033202
6,6,7,1,1,1,1,1486146036767,1486146038101,1486146036269
6,6,8,1,1,0,3,1486146039834,-1,1486146039303
6,6,9,1,1,1,3,1486146042851,1486146043485,1486146042354
6,6,10,1,1,0,0,1486146045885,-1,1486146045386
6,6,11,1,1,1,0,1486146048951,1486146049518,1486146048421
6,6,12,1,1,0,4,1486146052018,-1,1486146051487
6,6,13,1,1,0,5,1486146055051,-1,1486146054521
6,6,14,1,1,0,7,1486146058118,-1,1486146057587
6,6,15,1,1,0,0,1486146061185,-1,1486146060654
6,6,16,1,1,0,2,1486146064252,-1,1486146063721
6,6,17,1,1,0,4,1486146067285,-1,1486146066788
6,6,18,1,1,0,5,1486146070352,-1,1486146069821
6,6,19,1,1,0,6,1486146073386,-1,1486146072854
6,6,20,1,1,1,6,1486146076419,1486146077186,1486146075890
6,6,21,1,1,0,0,1486146079453,-1,1486146078922
6,7,1,2,1,3,4,1486146098054,-1,1486146097521
6,7,2,2,1,3,3,1486146101121,-1,1486146100590
6,7,3,2,1,2,3,1486146104187,-1,1486146103656
6,7,4,2,1,1,3,1486146107254,1486146108588,1486146106723
6,7,5,2,1,0,1,1486146110321,-1,1486146109793
6,7,6,2,1,2,1,1486146113355,-1,1486146112857
6,7,7,2,1,0,4,1486146116388,-1,1486146115890
6,7,8,2,1,0,6,1486146119455,-1,1486146118924
6,7,9,2,1,0,7,1486146122489,-1,1486146121991
6,7,10,2,1,1,6,1486146125555,1486146127356,1486146125024
6,7,11,2,1,1,7,1486146128589,1486146130456,1486146128058
6,7,12,2,0,1,6,1486146131656,-1,1486146131125
6,7,13,2,1,2,6,1486146134722,-1,1486146134192
6,7,14,2,1,0,2,1486146137789,-1,1486146137259
6,7,15,2,1,1,6,1486146140823,1486146142256,1486146140292
6,7,16,2,1,1,2,1486146143890,1486146144690,1486146143358
6,7,17,2,1,0,3,1486146146956,-1,1486146146427
6,7,18,2,0,2,6,1486146150023,1486146150924,1486146149493
6,7,19,2,0,2,2,1486146153057,1486146154157,1486146152560
6,7,20,2,1,0,0,1486146156124,-1,1486146155592
6,7,21,2,1,0,5,1486146159190,-1,1486146158659
6,7,22,2,1,2,5,1486146162257,-1,1486146161727
6,8,1,3,1,3,7,1486146180858,-1,1486146180325
6,8,2,3,1,3,4,1486146183925,-1,1486146183394
6,8,3,3,1,3,3,1486146186959,-1,1486146186462
6,8,4,3,1,0,1,1486146190026,-1,1486146189494
6,8,5,3,0,1,4,1486146193059,-1,1486146192528
6,8,6,3,1,0,2,1486146196126,-1,1486146195595
6,8,7,3,1,0,5,1486146199159,-1,1486146198628
6,8,8,3,0,2,1,1486146202193,1486146204160,1486146201662
6,8,9,3,0,1,2,1486146205260,-1,1486146204729
6,8,10,3,1,0,7,1486146208327,-1,1486146207796
6,8,11,3,0,2,2,1486146211360,1486146212527,1486146210862
6,8,12,3,0,1,2,1486146214427,-1,1486146213896
6,8,13,3,0,2,2,1486146217460,1486146218561,1486146216929
6,8,14,3,1,2,7,1486146220527,-1,1486146219996
6,8,15,3,1,2,1,1486146223561,-1,1486146223064
6,8,16,3,1,1,2,1486146226628,1486146227962,1486146226097
6,8,17,3,1,0,0,1486146229695,-1,1486146229164
6,8,18,3,0,1,1,1486146232762,-1,1486146232231
6,8,19,3,0,2,0,1486146235828,1486146237528,1486146235298
6,8,20,3,1,0,3,1486146238829,-1,1486146238331
6,8,21,3,1,0,6,1486146241895,-1,1486146241364
6,8,22,3,0,1,0,1486146244896,-1,1486146244398
6,8,23,3,0,0,7,1486146247929,1486146250396,1486146247431
