%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486424933141,1486424936143,1486424945816
1,G4,G,4,1486424947343,1486424950344,1486424956209
2,3W5,W,35,1486424957710,1486424962212,1486424968160
3,T7L,LT,7,1486424969693,1486424974195,1486424986398
4,1JA,AJ,,1486424987928,1486424992429,1486425000528
0,L2,L,2,1486425008496,1486425011464,1486425016410
1,6P,P,6,1486425017930,1486425020932,1486425025654
2,B5,B,5,1486425027180,1486425030182,1486425037097
3,F7L,FL,7,1486425038631,1486425043132,1486425049391
4,R4D,DR,4,1486425050915,1486425055417,1486425062543
5,H18,AH,1,1486425064065,1486425068568,1486425078272
6,T9A3,AT,39,1486425079800,1486425085801,1486425096673
7,V1J5,JV,15,1486425098201,1486425104203,1486425114198
8,7N4L,LN,47,1486425115719,1486425121720,1486425133324
9,8D6G1,DGL,1,1486425134853,1486425142354,1486425161246
10,K2C7S,CKS,27,1486425162771,1486425170273,1486425185322
11,5P3Y9,PY,359,1486425186856,1486425194357,1486425208987
12,M4E7Q2,MPQ,27,1486425210507,1486425219509,1486425240431
13,W8H5F3,MPS,375,1486425241959,1486425250961,1486425284284
14,6G9A2S,AJS,26,1486425285810,1486425294812,1486425313233
