%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,,6,1486155309777,1486155312779,1486155319461
1,G4,G,4,1486155322478,1486155325480,1486155341396
2,3W5,W,35,1486155342929,1486155347431,1486155352838
3,T7L,LT,7,1486155354363,1486155358865,1486155367474
4,1JA,AL,1,1486155368997,1486155373499,1486155385222
0,F4,F,4,1486155396750,1486155399750,1486155405293
1,1J,J,6,1486155406816,1486155409818,1486155417483
2,A7,A,7,1486155418984,1486155421985,1486155427767
3,L1H,HL,1,1486155429301,1486155433769,1486155439488
4,T2S,ST,2,1486155441018,1486155445520,1486155455892
5,K43,K,34,1486155457419,1486155461921,1486155467336
6,R5B2,BR,25,1486155468836,1486155474838,1486155482634
7,N3L9,LN,39,1486155484154,1486155490156,1486155506595
8,5V8P,PV,58,1486155508122,1486155514124,1486155523955
9,4M7S1,MS,147,1486155525473,1486155532975,1486155541267
10,L3E1D,DEL,13,1486155542791,1486155550292,1486155567161
11,9M6K2,KM,269,1486155568692,1486155576194,1486155586714
12,D1B5R9,DBR,15,1486155588243,1486155597245,1486155620828
13,G9T2A5,AGT,259,1486155622362,1486155631364,1486155648219
14,3W5A1G,AGW,135,1486155649747,1486155658748,1486155672032
15,B6H7A5K,ABHK,567,1486155673565,1486155684066,1486155703016
16,8H4R1C2,HRT,1248,1486155704550,1486155715052,1486155762340
17,C7B5N9Y,BCNY,579,1486155763870,1486155774371,1486155797455
18,3Q8D4R6F,DRNQ,3489,1486155798988,1486155810990,1486155837534
19,P2H8F4Y6,FHPY,2468,1486155839057,1486155851059,1486155878476
20,7D9T3E4S,ETYP,4379,1486155880010,1486155892012,1486155919695
