%Recollect Version 2.3. Scene/Level: nback2, Session: 1, GameNumber: 2
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%NBackObject:0,NLevel,IsCorrect,IsTarget,Type,PresentationTime(R),PresentationTime(A),TimeOutTime(R),TimeOutTime(A)
%Possible values for "Type":Blue=0,Yellow=1,Green=2,Pink=3,White=4,Gray=5,Brown=6,Purple=7,None=8,
0,3,1,3,6,1.85352,1488305986025,4.35413,1488305988531
0,3,1,3,2,4.85364,1488305989026,7.35388,1488305991529
0,3,1,3,5,7.85413,1488305992026,10.32080,1488305994495
0,3,1,0,0,10.82141,1488305994992,13.32092,1488305997494
0,3,1,1,2,13.82092,1488305997992,14.85449,1488305999032
0,3,1,0,1,16.82104,1488306000992,19.32141,1488306003497
0,3,1,0,6,19.82141,1488306003992,22.32153,1488306006494
0,3,1,0,3,22.82141,1488306006993,25.32153,1488306009496
0,3,1,0,5,25.82166,1488306009994,28.32178,1488306012496
0,3,1,1,6,28.82178,1488306012993,29.65503,1488306013829
0,3,1,1,3,31.82202,1488306015993,32.72180,1488306016894
0,3,1,2,3,34.82214,1488306018993,37.32239,1488306021497
0,3,1,1,6,37.82227,1488306021994,39.15576,1488306023332
0,3,1,2,6,40.82227,1488306024994,43.32263,1488306027497
0,3,1,1,3,43.82263,1488306027995,44.72266,1488306028898
0,3,1,0,7,46.82275,1488306030994,49.32300,1488306033496
0,3,0,2,3,49.82300,1488306033994,50.72302,1488306034898
0,3,1,0,0,52.82312,1488306036994,55.32324,1488306039497
0,3,1,0,5,55.82336,1488306039995,58.32349,1488306042498
0,3,1,1,3,58.82349,1488306042996,59.69019,1488306043865
0,3,1,0,2,61.82361,1488306045994,64.32385,1488306048497
0,3,1,0,1,64.82385,1488306048996,67.32434,1488306051499
0,3,1,2,5,67.82446,1488306051997,70.32434,1488306054498
0,3,1,2,5,70.82520,1488306054997,73.32434,1488306057500
0,3,1,2,5,73.82434,1488306057996,76.32507,1488306060498
0,3,1,1,5,76.82446,1488306060995,77.69177,1488306061867
0,3,1,2,1,79.82495,1488306063996,82.32483,1488306066498
0,3,1,1,5,82.82483,1488306066996,83.59180,1488306067767
0,3,1,1,5,85.82507,1488306069996,86.79150,1488306070964
0,3,1,2,5,88.79163,1488306072963,91.29211,1488306075466
0,3,1,2,1,91.79260,1488306075964,94.29224,1488306078463
0,3,1,2,1,94.79211,1488306078960,97.29224,1488306081463
0,3,1,0,4,97.79224,1488306081961,100.29250,1488306084463
0,3,1,2,4,100.79300,1488306084961,103.29260,1488306087464
0,3,1,0,6,103.79270,1488306087961,106.29280,1488306090464
0,3,1,1,4,106.79280,1488306090961,107.76090,1488306091930
0,3,1,1,4,109.79280,1488306093960,110.72770,1488306094898
0,3,1,1,6,112.79310,1488306096961,113.66000,1488306097831
0,3,1,0,7,115.79330,1488306099961,118.29360,1488306102463
0,3,1,2,6,118.79360,1488306102962,121.29370,1488306105464
0,3,1,0,5,121.79370,1488306105962,124.29370,1488306108464
0,3,1,0,1,124.79380,1488306108962,127.29390,1488306111464
0,3,1,0,0,127.79390,1488306111962,130.29410,1488306114464
