%Recollect Version 2.3. Scene/Level: , Game Number: 001
%MatrixReasoning:Stage,ProblemNumber,CurrentResponse,CorrectResponse,NavigationDirection,TimeOfResponse
2,0,7,7,0,1486158727390
2,1,1,1,0,1486158729923
2,2,0,2,0,1486158732990
2,2,2,2,0,1486158741457
2,0,2,2,0,1486158757891
2,0,2,2,1,1486158759625
2,1,4,4,0,1486158762225
2,1,4,4,1,1486158763059
2,2,6,6,0,1486158766158
2,2,6,6,1,1486158769525
2,3,7,7,0,1486158776927
2,3,7,7,1,1486158778125
2,4,4,4,0,1486158781592
2,4,4,4,1,1486158782159
2,5,6,6,0,1486158790926
2,5,6,6,1,1486158791393
2,6,7,1,0,1486158799961
2,6,1,1,0,1486158802194
2,6,-1,1,0,1486158805595
2,6,-1,1,1,1486158806360
2,7,4,7,0,1486158828929
2,7,7,7,0,1486158831795
2,7,7,7,1,1486158832829
2,8,5,4,0,1486158837029
2,8,5,4,1,1486158837562
2,9,3,3,0,1486158840762
2,9,3,3,1,1486158841262
2,10,2,7,0,1486158846329
2,10,7,7,0,1486158847363
2,10,7,7,1,1486158847829
2,11,-1,1,-1,1486158849396
2,10,7,7,1,1486158855496
2,11,1,1,0,1486158860730
2,11,1,1,1,1486158861364
2,12,6,6,0,1486158869697
2,12,-1,6,0,1486158871131
2,12,2,6,0,1486158904233
2,12,4,6,0,1486158906633
2,12,4,6,1,1486158909699
2,13,4,4,0,1486158914933
2,13,4,4,1,1486158915566
2,14,-1,4,-1,1486158916900
2,13,4,4,1,1486158928134
2,14,1,4,0,1486158943902
2,14,1,4,1,1486158944435
2,15,5,5,0,1486158953770
2,15,4,5,0,1486158954402
2,15,0,5,0,1486158954670
2,15,1,5,0,1486158954969
2,15,6,5,0,1486158955369
2,15,6,5,1,1486158993604
2,16,0,6,0,1486159005038
2,16,4,6,0,1486159023773
2,16,7,6,0,1486159030073
2,16,3,6,0,1486159038640
2,16,3,6,1,1486159039273
2,17,3,3,0,1486159046640
2,17,3,3,1,1486159047074
2,18,2,2,0,1486159055875
2,18,2,2,1,1486159057609
2,19,6,5,0,1486159069342
2,19,5,5,0,1486159074576
2,19,5,5,1,1486159075709
2,20,-1,0,-1,1486159077043
2,19,5,5,1,1486159080243
2,20,5,0,0,1486159087376
2,20,0,0,0,1486159089443
2,20,4,0,0,1486159089710
2,20,5,0,0,1486159101244
2,20,0,0,0,1486159103777
2,20,0,0,1,1486159108811
2,21,5,5,0,1486159134546
2,21,5,5,1,1486159135145
2,22,3,5,0,1486159144879
2,22,7,5,0,1486159146146
2,22,7,5,1,1486159163714
2,23,0,1,0,1486159179248
2,23,0,1,1,1486159180881
2,24,0,0,0,1486159183282
2,24,0,0,1,1486159184482
2,25,-1,5,-1,1486159185982
2,24,0,0,1,1486159193049
2,25,5,5,0,1486159204383
2,25,5,5,1,1486159208817
2,26,3,3,0,1486159219984
2,26,3,3,1,1486159221550
2,27,-1,6,-1,1486159222451
2,26,3,3,-1,1486159222751
2,25,5,5,-1,1486159223684
2,24,0,0,-1,1486159224551
2,23,0,1,1,1486159225551
2,24,0,0,1,1486159225751
2,25,5,5,1,1486159225917
2,26,3,3,1,1486159226050
2,27,-1,6,-1,1486159228984
2,26,3,3,1,1486159230484
2,27,1,6,0,1486159236519
2,27,1,6,1,1486159242385
2,28,2,1,0,1486159249052
2,28,7,1,0,1486159250752
2,28,5,1,0,1486159251986
2,28,2,1,0,1486159255086
2,28,2,1,1,1486159255752
2,29,-1,2,-1,1486159256986
2,28,1,1,0,1486159272320
2,28,1,1,1,1486159277053
2,29,1,2,0,1486159307189
2,29,5,2,0,1486159309722
2,29,7,2,0,1486159312023
2,29,7,2,1,1486159312355
2,30,0,0,0,1486159331524
2,30,0,0,1,1486159332257
2,31,0,2,0,1486159370092
2,31,0,2,1,1486159374059
2,32,5,0,0,1486159378459
2,32,5,0,1,1486159383626
2,33,7,6,0,1486159391460
2,33,7,6,1,1486159393160
2,34,7,3,0,1486159397761
2,34,3,3,0,1486159415028
2,34,3,3,1,1486159418561
2,35,0,0,0,1486159458698
2,35,0,0,1,1486159459464
2,36,2,2,0,1486159511367
2,36,2,2,1,1486159512667
2,37,7,3,0,1486159519167
2,37,0,3,0,1486159534668
2,37,4,3,0,1486159557203
2,37,4,3,1,1486159557802
2,38,1,4,0,1486159565704
2,38,-1,4,0,1486159568604
2,38,2,4,0,1486159569971
2,38,2,4,1,1486159570671
2,39,0,6,0,1486159574137
2,39,2,6,0,1486159590305
2,39,7,6,0,1486159594072
2,39,5,6,0,1486159603705
2,39,5,6,1,1486159605839
2,40,4,7,0,1486159610306
2,40,7,7,0,1486159647608
2,40,7,7,1,1486159649241
2,41,5,5,0,1486159668942
