%Recollect Version 2.3. Scene/Level: , Game Number: 006
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":RV=0,Truck=1,FireTruck=2,Ambulance=3,Cab=4,Schoolbus=5,Limo=6,Police=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,5,9,3,1,0,3,1486419457877,-1,1486419457346
6,5,10,3,1,0,7,1486419460911,-1,1486419460414
6,5,11,3,0,0,4,1486419463977,1486419466145,1486419463447
6,5,12,3,1,0,5,1486419466978,-1,1486419466480
6,5,13,3,1,1,7,1486419470044,1486419471345,1486419469513
6,5,14,3,1,1,4,1486419473046,1486419474678,1486419472547
6,5,15,3,1,0,2,1486419476111,-1,1486419475581
6,5,16,3,1,0,3,1486419479145,-1,1486419478615
6,5,17,3,1,0,5,1486419482212,-1,1486419481681
6,5,18,3,1,1,2,1486419485245,1486419486279,1486419484715
6,5,19,3,0,1,3,1486419488279,-1,1486419487748
6,5,20,3,1,1,5,1486419491313,1486419493146,1486419490816
6,5,21,3,1,0,0,1486419494379,-1,1486419493848
6,5,22,3,1,0,4,1486419497446,-1,1486419496915
6,5,23,3,1,0,1,1486419500480,-1,1486419499949
6,6,1,4,1,3,6,1486419505646,-1,1486419505147
6,6,2,4,1,3,4,1486419508714,-1,1486419508182
6,6,3,4,1,3,3,1486419511747,-1,1486419511216
6,6,4,4,1,3,1,1486419514780,-1,1486419514250
6,6,5,4,1,0,3,1486419517814,-1,1486419517283
6,6,6,4,1,1,4,1486419520881,1486419522448,1486419520351
6,6,7,4,1,0,5,1486419523914,-1,1486419523383
6,6,8,4,0,1,1,1486419526948,-1,1486419526417
6,6,9,4,1,0,2,1486419530014,-1,1486419529484
6,6,10,4,1,1,4,1486419533048,1486419534382,1486419532517
6,6,11,4,1,0,0,1486419536081,-1,1486419535551
6,6,12,4,0,0,3,1486419539148,1486419541182,1486419538618
6,6,13,4,1,0,7,1486419542215,-1,1486419541685
6,6,14,4,1,0,6,1486419545249,-1,1486419544718
6,6,15,4,1,1,0,1486419548315,1486419549482,1486419547785
6,6,16,4,1,1,3,1486419551349,1486419552783,1486419550819
6,6,17,4,1,0,5,1486419554416,-1,1486419553885
6,6,18,4,0,0,3,1486419557449,1486419559283,1486419556918
6,6,19,4,1,1,0,1486419560516,1486419561716,1486419559987
6,6,20,4,1,0,6,1486419563516,-1,1486419563019
6,6,21,4,1,0,1,1486419566583,-1,1486419566053
6,6,22,4,1,0,6,1486419569650,-1,1486419569119
6,6,23,4,0,0,1,1486419572683,1486419573984,1486419572186
6,6,24,4,1,0,4,1486419575717,-1,1486419575186
6,7,1,1,1,3,3,1486419581418,-1,1486419580919
6,7,2,1,1,0,2,1486419584484,-1,1486419583955
6,7,3,1,1,0,1,1486419587485,-1,1486419586987
6,7,4,1,1,0,4,1486419590518,-1,1486419590020
6,7,5,1,1,1,4,1486419593585,1486419594318,1486419593054
6,7,6,1,1,0,6,1486419596619,-1,1486419596087
6,7,7,1,1,0,7,1486419599685,-1,1486419599154
6,7,8,1,0,1,7,1486419602718,-1,1486419602188
6,7,9,1,1,0,2,1486419605753,-1,1486419605221
6,7,10,1,1,0,1,1486419608819,-1,1486419608288
6,7,11,1,1,0,7,1486419611852,-1,1486419611322
6,7,12,1,1,1,7,1486419614853,1486419615520,1486419614355
6,7,13,1,1,0,0,1486419617919,-1,1486419617390
6,7,14,1,1,1,0,1486419620953,1486419621853,1486419620423
6,7,15,1,1,0,3,1486419623987,-1,1486419623456
6,7,16,1,1,0,5,1486419627053,-1,1486419626522
6,7,17,1,1,0,4,1486419630087,-1,1486419629557
6,7,18,1,1,1,4,1486419633087,1486419633887,1486419632589
6,7,19,1,1,1,4,1486419636154,1486419637088,1486419635623
6,7,20,1,1,0,3,1486419639221,-1,1486419638690
6,7,21,1,1,0,1,1486419642287,-1,1486419641758
6,8,1,2,1,3,0,1486419647154,-1,1486419646622
6,8,2,2,1,3,3,1486419650188,-1,1486419649657
6,8,3,2,1,1,0,1486419653188,1486419654355,1486419652691
6,8,4,2,1,1,3,1486419656221,1486419658355,1486419655724
6,8,5,2,1,1,0,1486419659289,1486419660322,1486419658758
6,8,6,2,1,1,3,1486419662322,1486419663122,1486419661824
6,8,7,2,1,0,4,1486419665355,-1,1486419664858
6,8,8,2,1,0,6,1486419668389,-1,1486419667858
6,8,9,2,1,0,7,1486419671422,-1,1486419670893
6,8,10,2,1,0,1,1486419674456,-1,1486419673925
6,8,11,2,1,0,5,1486419677456,-1,1486419676959
6,8,12,2,1,2,7,1486419680523,-1,1486419679992
6,8,13,2,1,2,1,1486419683557,-1,1486419683025
6,8,14,2,1,2,5,1486419686623,-1,1486419686092
6,8,15,2,1,1,1,1486419689690,1486419690724,1486419689159
6,8,16,2,1,2,1,1486419692757,-1,1486419692226
6,8,17,2,1,0,6,1486419695790,-1,1486419695260
6,8,18,2,1,2,6,1486419698857,-1,1486419698327
6,8,19,2,1,1,6,1486419701891,1486419703058,1486419701361
6,8,20,2,1,2,4,1486419704958,-1,1486419704429
6,8,21,2,1,0,5,1486419708024,-1,1486419707493
6,8,22,2,1,0,7,1486419711025,-1,1486419710527
6,9,1,3,1,3,4,1486419715958,-1,1486419715426
6,9,2,3,1,3,3,1486419719025,-1,1486419718494
6,9,3,3,1,3,2,1486419722092,-1,1486419721561
6,9,4,3,1,0,1,1486419725126,-1,1486419724595
6,9,5,3,0,1,3,1486419728192,-1,1486419727661
6,9,6,3,1,1,2,1486419731226,1486419732593,1486419730696
6,9,7,3,1,0,4,1486419734259,-1,1486419733729
6,9,8,3,1,1,3,1486419737293,1486419738626,1486419736762
6,9,9,3,1,2,4,1486419740326,-1,1486419739798
6,9,10,3,1,0,7,1486419743360,-1,1486419742829
6,9,11,3,1,0,5,1486419746393,-1,1486419745862
6,9,12,3,0,2,7,1486419749427,1486419751094,1486419748896
6,9,13,3,1,0,1,1486419752427,-1,1486419751929
6,9,14,3,1,0,1,1486419755494,-1,1486419754963
6,9,15,3,1,1,7,1486419758561,1486419759694,1486419758030
6,9,16,3,1,0,6,1486419761628,-1,1486419761097
6,9,17,3,1,1,1,1486419764661,1486419765494,1486419764164
6,9,18,3,1,2,6,1486419767728,-1,1486419767197
6,9,19,3,0,2,1,1486419770795,1486419772528,1486419770265
6,9,20,3,1,1,1,1486419773862,1486419775295,1486419773331
6,9,21,3,1,2,1,1486419776895,-1,1486419776365
6,9,22,3,0,2,6,1486419779928,1486419781662,1486419779398
6,9,23,3,1,0,3,1486419782962,-1,1486419782431
