%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486413551862,1486413554863,1486413572818
1,G4,G,4,1486413574346,1486413577348,1486413587599
2,3W5,W,35,1486413589130,1486413593632,1486413601481
3,T7L,LT,7,1486413602981,1486413607483,1486413615737
4,1JA,AJ,1,1486413617265,1486413621767,1486413629471
0,F4,F,4,1486413634499,1486413637468,1486413643318
1,1J,J,1,1486413644850,1486413647852,1486413655313
2,A7,A,7,1486413656834,1486413659836,1486413666818
3,L1H,HL,1,1486413668351,1486413672853,1486413688241
4,T2S,ST,2,1486413689769,1486413694271,1486413706638
5,K43,K,34,1486413708170,1486413712672,1486413718887
6,R5B2,BR,25,1486413720421,1486413726423,1486413737824
7,N3L9,LN,39,1486413739356,1486413745358,1486413755417
8,5V8P,PV,58,1486413756940,1486413762941,1486413777472
9,4M7S1,MS,147,1486413778991,1486413786493,1486413816810
10,L3E1D,EDL,13,1486413818343,1486413825845,1486413857500
11,9M6K2,KMS,269,1486413859029,1486413866531,1486413889594
12,D1B5R9,DL,159,1486413891114,1486413900116,1486413915143
13,G9T2A5,G,2589,1486413916699,1486413925667,1486413934517
14,3W5A1G,GW,1358,1486413936050,1486413945052,1486413973345
