%Recollect Version 2.3. Scene/Level: , Session: 21, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1487795156240,1487795159208,1487795166979
1,G4,G,4,1487795168507,1487795171509,1487795177532
2,3W5,W,35,1487795179058,1487795183560,1487795188727
3,T7L,LT,7,1487795190259,1487795194760,1487795199930
4,1JA,AJ,1,1487795201459,1487795205961,1487795211843
0,L2,L,2,1487795216077,1487795219078,1487795222911
1,6P,P,6,1487795224444,1487795227445,1487795231917
2,B5,B,5,1487795233445,1487795236446,1487795240270
3,F7L,FL,7,1487795241795,1487795246296,1487795250862
4,R4D,DR,4,1487795252396,1487795256897,1487795266878
5,H18,H,18,1487795268397,1487795272898,1487795277897
6,T9A3,AT,39,1487795279397,1487795285399,1487795296226
7,V1J5,JV,15,1487795297748,1487795303750,1487795310282
8,7N4L,LN,47,1487795311782,1487795317784,1487795329040
9,8D6G1,DG,168,1487795330567,1487795338068,1487795346084
10,K2C7S,CKS,27,1487795347618,1487795355108,1487795363742
11,5P3Y9,PY,359,1487795365269,1487795372770,1487795381296
12,M4E7Q2,MQ,247,1487795382820,1487795391822,1487795417755
13,W8H5F3,FHW,357,1487795419255,1487795428257,1487795447012
14,6G9A2S,GHS,269,1487795448540,1487795457542,1487795467965
