%Recollect Version 2.3. Scene/Level: , Game Number: 005
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1486142644195,1486142650960
1,1,34,34,0,1486142651929,1486142657927
2,0,52,52,0,1486142661096,1486142667261
2,1,36,36,0,1486142668263,1486142674128
2,2,368,368,0,1486142675129,1486142682562
2,3,208,208,0,1486142683530,1486142691529
2,4,2306,2306,0,1486142692498,1486142701929
2,5,5047,5047,0,1486142702898,1486142712530
2,6,41075,50715,0,1486142713498,1486142726797
2,7,31620,31620,0,1486142727799,1486142740065
2,8,281376,2814367,0,1486142741066,1486142756232
2,9,816508,816508,0,1486142757201,1486142771200
2,10,4806317,4806317,1,1486142772168,1486142793634
2,11,0851680,8615078,1,1486142794603,1486142816202
2,12,47081536,87503416,0,1486142817205,1486142839088
2,13,25408016,20848136,0,1486142840056,1486142861522
3,0,60,06,0,1486142865190,1486142871289
3,1,24,42,0,1486142872290,1486142879189
4,0,51,15,0,1486142886758,1486142893123
4,1,37,73,3,1486142894125,1486142910791
4,2,630,036,1,1486142911760,1486142922258
4,3,580,085,0,1486142923227,1486142931559
4,4,5683,3865,2,1486142932527,1486142946026
4,5,2841,1482,0,1486142946995,1486142956727
4,6,47812,21784,0,1486142957695,1486142970228
4,7,03415,51430,0,1486142971197,1486142983829
4,8,507613,316750,0,1486142984831,1486142998529
4,9,073280,0827340,0,1486142999497,1486143019747
