%Recollect Version 2.3. Scene/Level: , Game Number: 007
%HeartsAndFlowers:Stage,TrailNum,Target,TargetPos,ChoicePos,TimeOfPresentation,TimeOfResponse
1,0,1,1,1,1486155062971,1486155064937
1,1,1,0,0,1486155065905,1486155066871
1,2,1,0,0,1486155067871,1486155068738
1,3,1,1,1,1486155069739,1486155070538
2,0,1,1,1,1486155077172,1486155077872
2,1,1,1,1,1486155078873,1486155079572
2,2,1,1,1,1486155080573,1486155081338
2,3,1,0,0,1486155082339,1486155083006
2,4,1,0,0,1486155084006,1486155084705
2,5,1,0,0,1486155085705,1486155086405
2,6,1,1,1,1486155087372,1486155088105
2,7,1,0,0,1486155089106,1486155089805
2,8,1,1,1,1486155090806,1486155091472
2,9,1,1,1,1486155092439,1486155093139
2,10,1,0,0,1486155094139,1486155094839
2,11,1,0,0,1486155095839,1486155096573
3,0,0,1,0,1486155103807,1486155104740
3,1,0,0,1,1486155105708,1486155106641
3,2,0,0,1,1486155107640,1486155108473
3,3,0,1,0,1486155109474,1486155110374
4,0,0,0,1,1486155114391,1486155115124
4,1,0,0,1,1486155116124,1486155116790
4,2,0,0,1,1486155117791,1486155118524
4,3,0,1,0,1486155119524,1486155120258
4,4,0,0,1,1486155121257,1486155121924
4,5,0,1,0,1486155122924,1486155123657
4,6,0,1,0,1486155124658,1486155125358
4,7,0,1,0,1486155126358,1486155127125
4,8,0,0,1,1486155128124,1486155128791
4,9,0,0,1,1486155129791,1486155130491
4,10,0,1,0,1486155131491,1486155132391
4,11,0,1,0,1486155133391,1486155134158
5,0,1,1,1,1486155141509,1486155142342
5,1,0,1,0,1486155143343,1486155144175
5,2,0,0,1,1486155145176,1486155146176
5,3,1,0,0,1486155147176,1486155148142
6,0,1,0,0,1486155153977,1486155154709
6,1,1,0,0,1486155155710,1486155156609
6,2,0,1,0,1486155157610,1486155158543
6,3,1,0,0,1486155159543,1486155160476
6,4,0,0,1,1486155161443,1486155162276
6,5,1,0,0,1486155163277,1486155164276
6,6,1,1,1,1486155165277,1486155166343
6,7,1,0,0,1486155167343,1486155168410
6,8,0,0,1,1486155169410,1486155170477
6,9,0,1,0,1486155171477,1486155172244
6,10,0,1,0,1486155173244,1486155174144
6,11,1,1,1,1486155175144,1486155175944
6,12,1,0,0,1486155176944,1486155177877
6,13,0,1,0,1486155178878,1486155180044
6,14,1,1,1,1486155181044,1486155182144
6,15,0,1,0,1486155183144,1486155184144
6,16,1,0,0,1486155185144,1486155186177
6,17,1,1,1,1486155187146,1486155188178
6,18,0,0,1,1486155189145,1486155190078
6,19,0,1,0,1486155191079,1486155191979
6,20,1,0,0,1486155192978,1486155193711
6,21,0,1,0,1486155194712,1486155195711
6,22,1,1,1,1486155196713,1486155197678
6,23,0,1,0,1486155198679,1486155199879
6,24,0,0,1,1486155200879,1486155202279
6,25,0,1,0,1486155203279,1486155204379
6,26,1,0,0,1486155205379,1486155206279
6,27,1,1,1,1486155207280,1486155208112
6,28,1,1,1,1486155209112,1486155210012
6,29,0,0,1,1486155211014,1486155211913
6,30,1,1,1,1486155212913,1486155213779
6,31,1,0,0,1486155214779,1486155215680
6,32,0,0,1,1486155216680,1486155217513
6,33,0,0,1,1486155218514,1486155219477
6,34,0,1,0,1486155220474,1486155221403
6,35,1,0,0,1486155222401,1486155223434
6,36,0,0,1,1486155224435,1486155225368
6,37,1,0,0,1486155226368,1486155227535
6,38,0,1,0,1486155228535,1486155229268
6,39,0,0,1,1486155230269,1486155231135
6,40,0,1,0,1486155232136,1486155233101
6,41,1,1,1,1486155234069,1486155235035
6,42,0,0,1,1486155236035,1486155237169
6,43,1,1,1,1486155238136,1486155238869
6,44,0,0,1,1486155239869,1486155240802
6,45,1,1,1,1486155241803,1486155242636
6,46,0,0,1,1486155243637,1486155244535
6,47,1,1,1,1486155245503,1486155246336
