%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486153805792,1486153808794,1486153831148
1,G4,G,4,1486153832710,1486153835678,1486153841444
2,3W5,W,35,1486153842978,1486153847480,1486153852884
3,T7L,LT,7,1486153854412,1486153858914,1486153863695
4,1JA,AJ,1,1486153865229,1486153869730,1486153874919
0,F4,F,4,1486153880613,1486153883581,1486153888206
1,1J,J,1,1486153889730,1486153892732,1486153898747
2,A7,A,7,1486153900281,1486153903282,1486153907548
3,L1H,HL,1,1486153909081,1486153913583,1486153918782
4,T2S,ST,2,1486153920315,1486153924817,1486153929754
5,K43,K,34,1486153931283,1486153935784,1486153940466
6,R5B2,BR,25,1486153942000,1486153948001,1486153954021
7,N3L9,LN,39,1486153955551,1486153961552,1486153968136
8,5V8P,PV,58,1486153969668,1486153975670,1486153982756
9,4M7S1,MS,147,1486153984286,1486153991788,1486153999474
10,L3E1D,DEL,13,1486154001004,1486154008505,1486154016954
11,9M6K2,KM,269,1486154018454,1486154025957,1486154037868
12,D1B5R9,BDR,159,1486154039389,1486154048391,1486154063896
13,G9T2A5,AGT,259,1486154065424,1486154074425,1486154103181
14,3W5A1G,AGW,135,1486154104699,1486154113677,1486154124549
15,B6H7A5K,ABHK,567,1486154126076,1486154136579,1486154166132
16,8H4R1C2,ABHW,1248,1486154167662,1486154178164,1486154200306
17,C7B5N9Y,BCY,57,1486154201831,1486154212332,1486154236533
18,3Q8D4R6F,AQR,3468,1486154238066,1486154250068,1486154285102
19,P2H8F4Y6,FHPY,246,1486154286602,1486154298604,1486154331110
20,7D9T3E4S,ADHS,347,1486154332638,1486154344640,1486154356614
