%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,1,1486143068885,1486143071887,1486143172961
1,G4,G,4,1486143175957,1486143178959,1486143184691
2,3W5,W,35,1486143186191,1486143190693,1486143199197
3,T7L,,7,1486143200726,1486143205227,1486143209677
4,1JA,AJ,1,1486143212710,1486143217211,1486143225896
0,F4,F,4,1486143233361,1486143236362,1486143242016
1,1J,J,1,1486143243545,1486143246546,1486143251970
2,A7,A,7,1486143253495,1486143256497,1486143262282
3,L1H,HL,1,1486143263812,1486143268314,1486143275168
4,T2S,ST,4,1486143276696,1486143281198,1486143300422
5,K43,K,34,1486143301948,1486143306450,1486143311998
6,R5B2,BR,25,1486143313532,1486143319534,1486143326618
7,N3L9,NL,39,1486143328149,1486143334152,1486143343590
8,5V8P,LV,58,1486143345118,1486143351119,1486143380469
9,4M7S1,MVS,147,1486143382002,1486143389504,1486143407209
10,L3E1D,DEL,13,1486143408738,1486143416239,1486143429505
11,9M6K2,MS,12,1486143431038,1486143438540,1486143453540
12,D1B5R9,DI,19,1486143455073,1486143464075,1486143486023
13,G9T2A5,GLT,259,1486143487542,1486143496544,1486143515632
14,3W5A1G,GW,1358,1486143517160,1486143526162,1486143555392
