%Recollect Version 2.3. Scene/Level: , Game Number: 006
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1487024542217,1487024548615
1,1,34,34,0,1487024549617,1487024556182
2,0,15,15,0,1487024560484,1487024567082
2,1,73,73,0,1487024568051,1487024574116
2,2,164,164,0,1487024575085,1487024583317
2,3,705,705,0,1487024584319,1487024592284
2,4,2173,2173,0,1487024593252,1487024603051
2,5,1504,1504,0,1487024604020,1487024613852
2,6,42350,42350,0,1487024614820,1487024626219
2,7,24061,24061,0,1487024627188,1487024638754
2,8,061743,061743,0,1487024639722,1487024656021
2,9,625037,625037,0,1487024657023,1487024671322
2,10,7152305,7152305,0,1487024672324,1487024688123
2,11,3157264,3175264,1,1487024689124,1487024710391
2,12,64527631,64257631,0,1487024711392,1487024732208
2,13,05631742,50631742,0,1487024733178,1487024753010
3,0,60,06,0,1487024760146,1487024766477
3,1,24,42,1,1487024767446,1487024775178
4,0,25,52,0,1487024778547,1487024784378
4,1,63,36,0,1487024785346,1487024791245
4,2,574,475,0,1487024792214,1487024799713
4,3,207,702,0,1487024800681,1487024808347
4,4,7305,5037,0,1487024809348,1487024819080
4,5,4130,0314,0,1487024820049,1487024829681
4,6,35741,14753,0,1487024830650,1487024842315
4,7,70526,625037,1,1487024843317,1487024861649
4,8,607251,152706,0,1487024862651,1487024878417
4,9,270643,346072,0,1487024879419,1487024893685
4,10,0416327,7236104,0,1487024894687,1487024914019
4,11,5632041,1043265,1,1487024914988,1487024936253
