%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486399779866,1486399782868,1486399791047
1,G4,G,4,1486399792574,1486399795576,1486399800075
2,3W5,W,35,1486399801609,1486399806110,1486399810581
3,T7L,TL,7,1486399812109,1486399816610,1486399822622
4,1JA,JA,1,1486399825643,1486399830144,1486399834317
0,L2,L,2,1486399839777,1486399842783,1486399846110
1,6P,P,6,1486399847647,1486399850646,1486399853794
2,B5,B,5,1486399855328,1486399858329,1486399861790
3,F7L,FL,7,1486399863312,1486399867813,1486399871716
4,R4D,RD,4,1486399873247,1486399877747,1486399881546
5,H18,H,18,1486399883080,1486399887584,1486399891186
6,T9A3,TA,93,1486399892713,1486399898719,1486399903233
7,V1J5,VJ,15,1486399904764,1486399910765,1486399915357
8,7N4L,NL,74,1486399916881,1486399922883,1486399927097
