%Recollect Version 2.3. Scene/Level: , Session: 9, GameNumber: 5
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1487722409901,1487722415998
1,1,34,34,0,1487722416968,1487722423065
2,0,52,52,0,1487722428102,1487722434800
2,1,36,36,0,1487722435769,1487722442333
2,2,368,368,0,1487722443336,1487722451467
2,3,208,,0,1487722452471,1487722458867
2,4,2306,2036,0,1487722459837,1487722470901
2,5,5047,504,0,1487722471871,1487722481468
3,0,60,06,0,1487722486572,1487722492969
3,1,24,42,0,1487722493939,1487722500236
4,0,51,15,0,1487722505540,1487722512203
4,1,37,73,0,1487722513173,1487722521337
4,2,630,036,0,1487722522341,1487722530338
4,3,580,085,0,1487722531308,1487722540072
4,4,5683,3865,0,1487722541042,1487722550939
4,5,2841,1482,0,1487722551909,1487722562740
4,6,47812,21874,0,1487722563710,1487722578724
4,7,03415,5133430,0,1487722579728,1487722594958
4,8,507613,316750,0,1487722595928,1487722610192
4,9,073280,082430,1,1487722611162,1487722634194
