%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486770441206,1486770444426,1486770450991
1,G4,G,4,1486770452523,1486770455709,1486770461343
2,3W5,W,35,1486770462874,1486770467809,1486770473703
3,T7L,LT,7,1486770475236,1486770479956,1486770486907
4,1JA,AJ,1,1486770488437,1486770493156,1486770498038
0,F4,F,4,1486770502605,1486770505607,1486770509565
1,1J,J,1,1486770511089,1486770514125,1486770517890
2,A7,A,7,1486770519422,1486770522425,1486770526472
3,L1H,HL,1,1486770527973,1486770532692,1486770536990
4,T2S,ST,2,1486770538523,1486770543243,1486770552610
5,K43,K,34,1486770554174,1486770558644,1486770562415
6,R5B2,BR,25,1486770563941,1486770569945,1486770576176
7,N3L9,LN,39,1486770577709,1486770584145,1486770590743
8,5V8P,PV,58,1486770592243,1486770598862,1486770608133
9,4M7S1,MS,147,1486770609661,1486770617597,1486770629815
10,L3E1D,LED,13,1486770631345,1486770639065,1486770646479
11,9M6K2,MK,269,1486770647980,1486770655916,1486770670008
12,D1B5R9,BDM,159,1486770671532,1486770680534,1486770689682
13,G9T2A5,GTA,259,1486770691182,1486770700185,1486770708291
14,3W5A1G,G,,1486770709817,1486770718820,1486770725302
