%Recollect Version 2.3. Scene/Level: , Game Number: 004
%D2:Row,lastInteractedCharacter,Ht,Ms,FA,CR,Sequence,Responses
0,31,12,0,5,15,fgaaebocmlcibnndfkocaaklhnknicbbcbcbhaomfaacaebh,001101010011100001011110001011110000000000000000
1,24,10,0,4,11,odimkchannabohchjbcebboocokkaaacbckffabkocmcoabl,011011010011001011101100100000000000000000000000
2,34,17,0,5,13,adbcocgkfabhbibiifecahofcaopcobaabjdgpckaijimabc,101101010110111110011000110010111110000000000000
3,37,18,2,3,15,bbleckpcpapanecnhckbbilahamcabfbmfaccaoabpoijojg,110011010101001001111101010111010010010000000000
4,32,13,1,4,15,abjchamfgchgebnbojocpjkbaolacachdpaoocbbjcbaobdd,111101000100010100010111100011101000000000000000
5,35,14,1,7,14,aoahkjccehplfbhbcjhoekcbpjababjihaeabcckaiajpcbi,101011110000010011000111011111110101000000000000
6,33,11,4,4,15,ehbibjeaochdagcpabchjcgeeodpabmbacofbcaohekbdcca,001111001100001011101100000011000100000000000000
7,23,10,0,5,9,bnmeicpeabkkphaefkcpcbacappglbnklbabfcpcmacaagch,100011001111001011101111000000000000000000000000
8,27,14,1,6,7,aebcbjcjaajgalblpiecbccjoaboicmboiamebcfcnhjmiea,101111111110001001011111011100000000000000000000
9,27,13,0,5,10,ilcciibfdaabkcpkabcffbnpaafecacbbfjphpbapohlhbic,101111100111110111100100110000000000000000000000
10,30,11,2,4,14,cceaahobbkolmkadddcbgigbhajcooajcabbcebnpahpmcdc,110110011100011000010101011000100000000000000000
11,29,13,0,3,14,ajbmdblcdhcaebhcadmbaniiecopdagkciahbjcbmknacacd,111001010011010110011011010001000000000000000000
