%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486149146701,1486149149702,1486149157389
1,G4,G,4,1486149158885,1486149161886,1486149166469
2,3W5,W,35,1486149168002,1486149172504,1486149177491
3,T7L,LT,7,1486149179019,1486149183521,1486149190105
4,1JA,AJ,1,1486149191637,1486149196138,1486149201437
0,L2,L,2,1486149205671,1486149208672,1486149212570
1,6P,P,6,1486149214088,1486149217089,1486149220488
2,B5,B,5,1486149222022,1486149225023,1486149228861
3,F7L,FL,7,1486149230389,1486149234890,1486149238736
4,R4D,DR,4,1486149240256,1486149244758,1486149249242
5,H18,H,18,1486149250773,1486149255276,1486149259212
6,T9A3,AT,39,1486149260741,1486149266742,1486149271791
7,V1J5,JV,15,1486149273325,1486149279327,1486149285086
8,7N4L,LN,47,1486149286609,1486149292611,1486149299294
9,8D6G1,DG,168,1486149300826,1486149308328,1486149323317
10,K2C7S,CKS,27,1486149324877,1486149332380,1486149340895
11,5P3Y9,P,359,1486149342428,1486149349930,1486149371293
12,M4E7Q2,MEQ,47,1486149372813,1486149381815,1486149413516
13,W8H5F3,FEW,358,1486149415016,1486149424018,1486149438771
14,6G9A2S,S,2689,1486149440301,1486149449303,1486149483534
