%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1488245083514,1488245086717,1488245096776
1,G4,G,4,1488245098298,1488245101501,1488245108749
2,3W5,W,35,1488245110282,1488245115185,1488245121166
3,T7L,L,37,1488245122666,1488245127369,1488245139658
4,1JA,JA,1,1488245142867,1488245147570,1488245153593
0,F4,F,4,1488245160918,1488245163921,1488245169637
1,1J,J,1,1488245171169,1488245174172,1488245178274
2,A7,A,7,1488245179803,1488245182806,1488245190033
3,L1H,HL,1,1488245191587,1488245196273,1488245206671
4,T2S,ST,2,1488245208171,1488245212874,1488245220056
5,K43,K,34,1488245221588,1488245226091,1488245232239
6,R5B2,BR,25,1488245233739,1488245239742,1488245255428
7,N3L9,NL,39,1488245256957,1488245263161,1488245285213
8,5V8P,PV,58,1488245286742,1488245293378,1488245304059
9,4M7S1,MLS,147,1488245305560,1488245313479,1488245327212
10,L3E1D,ELM,134,1488245328744,1488245336647,1488245354623
11,9M6K2,MKS,269,1488245356146,1488245364249,1488245380936
