%Recollect Version 2.3. Scene/Level: , Game Number: 005
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1486151935574,1486151941837
1,1,34,34,0,1486151942841,1486151948771
2,0,15,15,0,1486151952642,1486151959738
2,1,73,73,0,1486151960709,1486151967272
2,2,164,164,0,1486151968243,1486151977373
2,3,705,705,0,1486151978343,1486151986707
2,4,2173,2173,0,1486151987677,1486151997507
2,5,1504,1504,0,1486151998478,1486152008808
2,6,42350,42350,0,1486152009779,1486152023559
2,7,24061,24061,0,1486152024529,1486152037559
2,8,061743,061743,0,1486152038563,1486152052560
2,9,625037,625037,0,1486152053564,1486152068361
2,10,7152305,715230,1,1486152069332,1486152102463
2,11,3157264,3157264,0,1486152103434,1486152121464
2,12,64527631,64527631,1,1486152122435,1486152158166
2,13,05631742,64573182,0,1486152159137,1486152178767
2,14,164751743,637845134,2,1486152179771,1486152215219
2,15,2084365170,20845367181,0,1486152216190,1486152242754
3,0,60,06,0,1486152250108,1486152258805
3,1,24,42,0,1486152259776,1486152265639
4,0,25,52,0,1486152271743,1486152278873
4,1,63,36,0,1486152279843,1486152287207
4,2,574,475,0,1486152288211,1486152296441
4,3,207,702,0,1486152297411,1486152305741
4,4,7305,5037,0,1486152306712,1486152317408
4,5,4130,0314,0,1486152318379,1486152328442
4,6,35741,14753,0,1486152329446,1486152342443
4,7,70526,62507,0,1486152343414,1486152356177
4,8,607251,152706,0,1486152357148,1486152371112
4,9,270643,346072,0,1486152372082,1486152388246
4,10,0416327,7236140,0,1486152389217,1486152404547
4,11,5632041,1402365,0,1486152405517,1486152424948
4,12,48256132,2316504,0,1486152425918,1486152443915
4,13,04523765,56760423,1,1486152444886,1486152469584
