%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 4
%D2:Row,lastInteractedCharacter,Ht,Ms,FA,CR,Sequence,Responses
0,43,20,0,0,24,ccoojbomkaoanbbdomddacophbngacblflaapbnchccadcbm,110001000101011000001100010011100011010101110000
1,36,16,0,0,21,nceabnddmamcnedbmhncabfpbanimcocbclhamjbhacafapc,010110000101000100011100110001011100100000000000
2,45,22,0,0,24,bicpbonakpmckohgdafabcljkbapckcocagbbmiaocbanchh,101010010001000001011100011010101101100101110100
3,45,20,1,0,25,cbbhfcoaahngickkjaanbcgnbkaebjipkcopcjdoakbcaahc,111001011000010001101100101010000100100010101100
4,40,21,0,0,20,okbkmhbaccnabiacmkijdckpbaohbnbkacaicadbcndlbpdl,001000111101101100000100110010101110110110000000
5,47,22,0,0,26,coikbjpcolpaajbgacpncibahbabfabjndcghfccbamlkhfc,100010010001101011001011011101100010001111000001
6,47,20,2,1,25,andcabkjbkcobabadciigcfbbdncgcejakahdlkdccpjbonb,100111001010111101000101100101001010000011010000
7,47,22,0,0,26,ccbobaeabgfonjacoacdpbgbcbcokakogaiebpoonaonbndc,111011011000001101100101111001000100100001001001
8,45,20,1,1,24,jdoampcehbablmcaiphgcjbljaoiocbbocfabpcamjjccbhb,000100100111001100001010010001110001101100111100
9,46,21,1,0,25,caeamnodekibbmcemcpcblbaadbbappglncdpcfaajfajcci,010100000001101001011011101110000010010110010110
10,46,20,1,0,26,cababmeiphccbfjlgbfcfaooepahacgcnbebhaeiealbjoba,111110000011100001010100001011010101010001000010
11,42,20,0,0,23,bcdknbakcmanakiocemdbfbgdaifohchoaabccbbjhagebci,110001101010100010001010010000100111111100100000
