%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 7
%HeartsAndFlowers:Stage,TrailNum,Target,TargetPos,ChoicePos,TimeOfPresentation,TimeOfResponse
1,0,1,0,0,1488233558747,1488233559546
1,1,1,1,1,1488233560547,1488233561214
1,2,1,1,1,1488233562182,1488233562747
1,3,1,0,0,1488233563715,1488233564247
2,0,1,1,1,1488233579498,1488233579998
2,1,1,1,1,1488233580965,1488233581498
2,2,1,0,0,1488233582466,1488233582965
2,3,1,0,0,1488233583933,1488233584431
2,4,1,0,0,1488233585399,1488233585899
2,5,1,1,1,1488233586898,1488233587332
2,6,1,0,0,1488233588332,1488233588798
2,7,1,0,0,1488233589765,1488233590265
2,8,1,0,0,1488233591232,1488233591732
2,9,1,1,1,1488233592699,1488233593132
2,10,1,1,1,1488233594100,1488233594566
2,11,1,1,1,1488233595567,1488233596033
3,0,0,0,1,1488233605034,1488233605534
3,1,0,0,1,1488233606501,1488233607034
3,2,0,1,0,1488233608001,1488233608467
3,3,0,1,0,1488233609434,1488233609899
4,0,0,0,1,1488233614534,1488233615033
4,1,0,1,0,1488233616001,1488233616466
4,2,0,0,1,1488233617434,1488233617867
4,3,0,1,0,1488233618868,1488233619300
4,4,0,0,1,1488233620301,1488233620700
4,5,0,1,0,1488233621667,1488233622100
4,6,0,0,1,1488233623067,1488233623533
4,7,0,1,0,1488233624500,1488233624967
4,8,0,0,1,1488233625935,1488233626367
4,9,0,0,1,1488233627335,1488233627734
4,10,0,1,0,1488233628702,1488233629168
4,11,0,1,0,1488233630136,1488233630668
5,0,1,1,1,1488233636819,1488233637452
5,1,0,0,1,1488233638453,1488233639019
5,2,0,1,0,1488233640020,1488233640585
5,3,1,0,0,1488233641586,1488233642184
6,0,1,1,1,1488233644618,1488233645085
6,1,0,0,1,1488233646085,1488233646619
6,2,0,1,0,1488233647620,1488233648119
6,3,0,0,1,1488233649086,1488233649752
6,4,1,0,0,1488233650720,1488233651319
6,5,1,1,1,1488233652320,1488233652852
6,6,0,1,0,1488233653819,1488233654285
6,7,1,0,0,1488233655252,1488233655952
6,8,1,1,1,1488233656919,1488233657586
6,9,1,0,0,1488233658587,1488233659285
6,10,0,1,0,1488233660287,1488233660853
6,11,0,0,1,1488233661854,1488233662552
6,12,0,1,0,1488233663553,1488233664119
6,13,1,0,0,1488233665086,1488233665552
6,14,0,0,1,1488233666520,1488233666986
6,15,0,1,0,1488233667954,1488233668587
6,16,0,1,0,1488233669555,1488233670453
6,17,1,0,0,1488233671421,1488233672120
6,18,1,1,1,1488233673088,1488233673720
6,19,1,0,0,1488233674720,1488233675253
6,20,0,1,0,1488233676253,1488233676720
6,21,0,0,1,1488233677687,1488233678186
6,22,1,0,0,1488233679155,1488233679621
6,23,1,0,0,1488233680588,1488233681154
6,24,1,1,1,1488233682121,1488233682721
6,25,0,1,0,1488233683688,1488233684188
6,26,1,0,0,1488233685187,1488233685787
6,27,0,1,0,1488233686754,1488233687254
6,28,0,0,1,1488233688221,1488233688820
6,29,0,1,0,1488233689789,1488233690388
6,30,1,1,0,1488233691355,1488233691921
6,31,0,0,1,1488233692889,1488233693455
6,32,1,1,1,1488233694422,1488233694922
6,33,0,0,1,1488233695921,1488233696521
6,34,1,1,0,1488233697488,1488233698054
6,35,1,0,0,1488233699021,1488233699621
6,36,1,0,0,1488233700589,1488233701088
6,37,0,1,0,1488233702056,1488233702755
6,38,1,1,1,1488233703723,1488233704422
6,39,1,1,1,1488233705390,1488233706089
6,40,0,0,1,1488233707089,1488233707555
6,41,1,0,0,1488233708522,1488233709055
6,42,1,1,1,1488233710055,1488233710655
6,43,0,0,1,1488233711623,1488233712189
6,44,0,1,0,1488233713190,1488233713823
6,45,1,1,1,1488233714824,1488233715556
6,46,0,0,1,1488233716557,1488233717289
6,47,0,0,1,1488233718289,1488233718922
