%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1488230589385,1488230592555,1488230602724
1,G4,G,4,1488230604220,1488230607439,1488230612954
2,3W5,W,35,1488230614487,1488230619422,1488230624429
3,T7L,LT,7,1488230625955,1488230630673,1488230637083
4,1JA,AJ,1,1488230638605,1488230643323,1488230649806
0,F4,F,4,1488230655573,1488230658576,1488230663095
1,1J,J,1,1488230664623,1488230667626,1488230672641
2,A7,A,7,1488230674174,1488230677177,1488230681697
3,L1H,HL,1,1488230683257,1488230687927,1488230693910
4,T2S,ST,2,1488230695441,1488230700162,1488230706248
5,K43,K,34,1488230707775,1488230712279,1488230716683
6,R5B2,BR,25,1488230718209,1488230724212,1488230731672
7,N3L9,LN,39,1488230733227,1488230739412,1488230748168
8,5V8P,PV,58,1488230749694,1488230756380,1488230763435
9,4M7S1,MS,147,1488230764996,1488230772899,1488230783975
10,L3E1D,EDL,13,1488230785497,1488230793432,1488230799314
11,9M6K2,KM,269,1488230800847,1488230809001,1488230815982
12,D1B5R9,BDR,159,1488230817515,1488230826769,1488230842239
13,G9T2A5,AGT,259,1488230843766,1488230852770,1488230868285
14,3W5A1G,AGW,135,1488230869785,1488230878788,1488230886143
15,B6H7A5K,ABHK,567,1488230887669,1488230898387,1488230907726
16,8H4R1C2,CHR,1248,1488230909253,1488230919755,1488230926231
17,C7B5N9Y,BCNY,579,1488230927755,1488230938257,1488230944715
18,3Q8D4R6F,DFQR,3468,1488230946239,1488230958242,1488230967477
19,P2H8F4Y6,BFHP,2468,1488230969040,1488230981009,1488230997998
20,7D9T3E4S,DEST,3479,1488230999559,1488231011527,1488231017531
