%Recollect Version 2.3. Scene/Level: , Game Number: 004
%D2:Row,lastInteractedCharacter,Ht,Ms,FA,CR,Sequence,Responses
0,9,6,1,0,3,cobbocaajbficomocapbplppanpbiiablocfdhcjnmacbbma,101101010100000000000000000000000000000000000000
1,26,11,2,1,13,ccgbdablaeceboalbhcabhjfinfpcaiocbpaifblncpjcgbd,110101001010101010110000001000000000000000000000
2,28,11,3,0,15,cacnfanihpkgbbhpacikanbgbcocbcbdkdeaaclhkapfdbbd,010001000000110001001010110110000000000000000000
3,29,13,1,0,16,licabkmabcicjamamchidkmbbdaeeafjgbpbcdgcmgkbcakb,001010011101010101000001101001000000000000000000
4,34,16,1,0,18,ibbgcapanlhclicajcpgipbebhafcaochbapbofcbjhaclkp,011011010001001001000010101011010110000000000000
5,27,14,0,0,14,cambbjgcaibdanffobcliogaccmbedmacfamgjbobnhafbcl,110110011010100001100001110100000000000000000000
6,35,17,1,0,18,chobngcabiaajkakckdpkbbcajbnjekcafcbfncbkjciekka,100100111011001010000111101000011001000000000000
7,35,16,1,0,19,mbnnlcnpcgobamiacpcabgajbbcgfnbhkgcanalpemgbmbca,010001001001100110111010111000100001000000000000
8,33,16,2,0,16,bgkabacpcoladeaccjobbnkicjbabpaomcppfciebnbhlgaj,100111001001001110001000101110100100000000000000
9,28,14,0,1,14,gciaacpemfbnobkfdcclabalbclfabbcahnlmapohobancpe,110111000010010001101110110010000000000000000000
10,39,14,3,0,23,nbccnbaanmeeiefnflabagebckcbdlochbiepclajagafcab,011101110000000000101000101000010100010100000000
11,31,10,4,1,17,onefbigcbadahicacealbjbkcjcenjkapciiibdbabhbjecc,000010010000001010101010101100010000000000000000
