%Recollect Version 2.3. Scene/Level: , Session: 23, GameNumber: 5
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1488239319145,1488239325144
1,1,34,34,0,1488239326145,1488239331878
2,0,15,15,0,1488239334979,1488239341195
2,1,73,73,0,1488239342196,1488239348028
2,2,164,164,0,1488239348997,1488239357629
2,3,705,705,0,1488239358631,1488239366262
2,4,2173,2173,0,1488239367265,1488239376730
2,5,1504,1504,0,1488239377698,1488239387763
2,6,42350,42350,0,1488239388765,1488239400464
2,7,24061,24061,0,1488239401434,1488239412898
2,8,061743,076143,0,1488239413900,1488239427566
2,9,625037,625037,0,1488239428535,1488239443467
2,10,7152305,1752035,0,1488239444469,1488239460968
2,11,3157264,3157264,0,1488239461970,1488239479036
2,12,64527631,64257613,0,1488239480037,1488239501237
2,13,05631742,05761342,0,1488239502238,1488239529371
3,0,60,06,0,1488239534840,1488239541606
3,1,24,42,0,1488239542575,1488239549307
4,0,25,52,0,1488239552675,1488239558673
4,1,63,36,0,1488239559642,1488239565640
4,2,574,475,0,1488239566609,1488239574407
4,3,207,702,0,1488239575377,1488239583342
4,4,7305,5037,0,1488239584311,1488239594175
4,5,4130,0314,0,1488239595178,1488239606476
4,6,35741,14753,0,1488239607445,1488239620277
4,7,70526,,0,1488239621279,1488239647344
4,8,607251,150762,0,1488239648347,1488239664913
4,9,270643,346702,0,1488239665915,1488239679713
