%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 6
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":Bear=0,Sheep=1,Duck=2,Elephant=3,Turtle=4,Owl=5,Goat=6,Seal=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,5,9,3,1,0,4,1487111232836,-1,1487111232305
6,5,10,3,1,0,6,1487111235869,-1,1487111235338
6,5,11,3,0,0,2,1487111238936,1487111240170,1487111238406
6,5,12,3,0,1,4,1487111241969,-1,1487111241439
6,5,13,3,1,0,7,1487111245003,-1,1487111244473
6,5,14,3,0,1,2,1487111248036,-1,1487111247506
6,5,15,3,1,0,1,1487111251070,-1,1487111250540
6,5,16,3,1,0,5,1487111254137,-1,1487111253606
6,5,17,3,1,0,5,1487111257170,-1,1487111256673
6,5,18,3,1,1,1,1487111260237,1487111261504,1487111259707
6,5,19,3,1,0,4,1487111263304,-1,1487111262773
6,5,20,3,0,1,5,1487111266371,-1,1487111265840
6,5,21,3,1,0,6,1487111269404,-1,1487111268874
6,5,22,3,0,1,4,1487111272438,-1,1487111271908
6,5,23,3,1,1,5,1487111275505,1487111277872,1487111274974
6,6,1,1,1,3,2,1487111294072,-1,1487111293539
6,6,2,1,1,1,2,1487111297106,1487111298239,1487111296576
6,6,3,1,1,0,6,1487111300139,-1,1487111299610
6,6,4,1,1,0,0,1487111303173,-1,1487111302643
6,6,5,1,1,0,7,1487111306173,-1,1487111305676
6,6,6,1,1,1,7,1487111309240,1487111310240,1487111308710
6,6,7,1,1,0,1,1487111312273,-1,1487111311743
6,6,8,1,1,0,5,1487111315307,-1,1487111314777
6,6,9,1,1,0,6,1487111318374,-1,1487111317844
6,6,10,1,1,0,1,1487111321407,-1,1487111320877
6,6,11,1,1,0,7,1487111324474,-1,1487111323944
6,6,12,1,1,0,2,1487111327508,-1,1487111326977
6,6,13,1,1,1,2,1487111330574,1487111331575,1487111330045
6,6,14,1,1,0,7,1487111333608,-1,1487111333077
6,6,15,1,1,1,7,1487111336675,1487111337542,1487111336144
6,6,16,1,1,1,7,1487111339742,1487111340909,1487111339212
6,6,17,1,1,0,0,1487111342775,-1,1487111342244
6,6,18,1,1,0,4,1487111345809,-1,1487111345279
6,6,19,1,1,0,1,1487111348842,-1,1487111348312
6,6,20,1,1,1,1,1487111351876,1487111352709,1487111351345
6,6,21,1,1,0,7,1487111354909,-1,1487111354378
6,7,1,2,1,3,7,1487111373477,-1,1487111372944
6,7,2,2,1,3,6,1487111376544,-1,1487111376014
6,7,3,2,1,1,7,1487111379577,1487111380511,1487111379080
6,7,4,2,1,2,7,1487111382644,-1,1487111382115
6,7,5,2,1,2,6,1487111385678,-1,1487111385147
6,7,6,2,1,2,6,1487111388744,-1,1487111388214
6,7,7,2,1,0,4,1487111391811,-1,1487111391282
6,7,8,2,1,2,4,1487111394845,-1,1487111394315
6,7,9,2,0,2,6,1487111397878,1487111398878,1487111397348
6,7,10,2,1,0,5,1487111400945,-1,1487111400415
6,7,11,2,1,1,6,1487111403979,1487111405179,1487111403448
6,7,12,2,1,1,5,1487111407045,1487111408112,1487111406515
6,7,13,2,1,1,6,1487111410079,1487111410846,1487111409549
6,7,14,2,1,1,5,1487111413146,1487111413846,1487111412615
6,7,15,2,1,0,3,1487111416179,-1,1487111415649
6,7,16,2,1,0,7,1487111419246,-1,1487111418716
6,7,17,2,1,0,1,1487111422280,-1,1487111421750
6,7,18,2,1,0,2,1487111425346,-1,1487111424816
6,7,19,2,1,1,1,1487111428380,1487111429447,1487111427850
6,7,20,2,1,2,1,1487111431414,-1,1487111430917
6,7,21,2,1,0,0,1487111434480,-1,1487111433950
6,7,22,2,1,0,6,1487111437547,-1,1487111437017
6,8,1,3,1,3,3,1487111456115,-1,1487111455582
6,8,2,3,1,3,1,1487111459182,-1,1487111458651
6,8,3,3,1,3,4,1487111462215,-1,1487111461684
6,8,4,3,1,0,6,1487111465282,-1,1487111464751
6,8,5,3,0,2,4,1487111468315,1487111469649,1487111467818
6,8,6,3,0,2,6,1487111471383,1487111473083,1487111470852
6,8,7,3,0,2,4,1487111474449,1487111475349,1487111473919
6,8,8,3,1,0,5,1487111477483,-1,1487111476985
6,8,9,3,1,0,7,1487111480549,-1,1487111480020
6,8,10,3,0,1,4,1487111483583,-1,1487111483053
6,8,11,3,1,2,4,1487111486650,-1,1487111486120
6,8,12,3,1,0,3,1487111489651,-1,1487111489153
6,8,13,3,1,1,4,1487111492717,1487111493984,1487111492186
6,8,14,3,1,2,3,1487111495750,-1,1487111495220
6,8,15,3,1,0,2,1487111498784,-1,1487111498253
6,8,16,3,1,1,4,1487111501817,1487111503284,1487111501321
6,8,17,3,1,0,0,1487111504884,-1,1487111504354
6,8,18,3,1,0,1,1487111507918,-1,1487111507387
6,8,19,3,1,2,0,1487111510985,-1,1487111510455
6,8,20,3,1,1,0,1487111514018,1487111515185,1487111513487
6,8,21,3,1,0,7,1487111517085,-1,1487111516555
6,8,22,3,1,1,0,1487111520118,1487111521452,1487111519621
6,8,23,3,1,1,0,1487111523185,1487111525586,1487111522655
