%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1487108738985,1487108742205,1487108764964
1,G4,G,4,1487108766487,1487108769706,1487108775861
2,3W5,W,35,1487108777387,1487108782340,1487108789060
3,T7L,LT,7,1487108790588,1487108795308,1487108803923
4,1JA,AJ,1,1487108805439,1487108810158,1487108818257
0,L2,L,2,1487108823207,1487108826426,1487108834180
1,6P,P,6,1487108835708,1487108838927,1487108844103
2,B5,B,5,1487108845625,1487108848628,1487108853775
3,F7L,FL,7,1487108855342,1487108859811,1487108866119
4,R4D,DR,4,1487108867643,1487108872145,1487108882250
5,H18,H,18,1487108883777,1487108888713,1487108894028
6,T9A3,AT,39,1487108895561,1487108902564,1487108910554
7,V1J5,JV,15,1487108912082,1487108918302,1487108925058
8,7N4L,LN,47,1487108926583,1487108933019,1487108941041
9,8D6G1,DG,168,1487108942601,1487108950504,1487108959207
10,K2C7S,CKS,27,1487108960736,1487108968455,1487108976541
11,5P3Y9,PY,359,1487108978103,1487108985789,1487108993738
12,M4E7Q2,EMQ,247,1487108995270,1487109004490,1487109013355
13,W8H5F3,FHW,358,1487109014855,1487109024074,1487109043664
14,6G9A2S,AGS,269,1487109045190,1487109054193,1487109063498
15,R3B4Z1C,BRZ,134,1487109065024,1487109075745,1487109096007
16,5T9B4K3,BKT,3349,1487109097527,1487109108029,1487109126658
17,E1H8R4D,EH,148,1487109128178,1487109138681,1487109164383
