%Recollect Version 2.3. Scene/Level: , Session: 21, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1488400969130,1488400972131,1488400984520
1,G4,G,4,1488400986047,1488400989049,1488400995120
2,3W5,W,35,1488400996648,1488401001149,1488401006952
3,T7L,LT,7,1488401008482,1488401012984,1488401024059
4,1JA,AJ,1,1488401025583,1488401030085,1488401037145
0,L2,L,2,1488401041867,1488401044869,1488401049584
1,6P,P,6,1488401051084,1488401054086,1488401059068
2,B5,B,5,1488401060602,1488401063603,1488401068824
3,F7L,FL,7,1488401070352,1488401074854,1488401084108
4,R4D,DR,4,1488401085636,1488401090138,1488401100639
5,H18,H,18,1488401102170,1488401106673,1488401112334
6,T9A3,AT,39,1488401113855,1488401119856,1488401141693
7,V1J5,JV,15,1488401143223,1488401149224,1488401164324
8,7N4L,LN,47,1488401165858,1488401171859,1488401190475
9,8D6G1,DG,168,1488401192009,1488401199511,1488401225144
10,K2C7S,CKS,27,1488401226644,1488401234146,1488401258202
11,5P3Y9,PY,359,1488401259729,1488401267231,1488401315916
12,M4E7Q2,AMQ,34,1488401317449,1488401326451,1488401375524
13,W8H5F3,WHF,58,1488401377053,1488401386054,1488401419139
14,6G9A2S,AGS,26,1488401420672,1488401429673,1488401447404
