%Recollect Version 2.3. Scene/Level: , Session: 21, GameNumber: 6
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":RV=0,Truck=1,FireTruck=2,Ambulance=3,Cab=4,Schoolbus=5,Limo=6,Police=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,5,8,3,1,0,0,1488403557885,-1,1488403557355
6,5,9,3,1,0,2,1488403560919,-1,1488403560388
6,5,10,3,1,0,1,1488403563952,-1,1488403563456
6,5,11,3,1,1,0,1488403567019,1488403568120,1488403566489
6,5,12,3,0,0,7,1488403570085,1488403571286,1488403569555
6,5,13,3,1,0,4,1488403573119,-1,1488403572622
6,5,14,3,1,0,3,1488403576186,-1,1488403575655
6,5,15,3,1,0,6,1488403579253,-1,1488403578722
6,5,16,3,1,0,2,1488403582286,-1,1488403581756
6,5,17,3,1,1,3,1488403585286,1488403586187,1488403584789
6,5,18,3,0,0,0,1488403588353,1488403589720,1488403587823
6,5,19,3,0,1,2,1488403591387,-1,1488403590856
6,5,20,3,1,1,3,1488403594420,1488403596254,1488403593892
6,5,21,3,1,0,7,1488403597421,-1,1488403596923
6,5,22,3,1,0,4,1488403600487,-1,1488403599957
6,5,23,3,1,1,3,1488403603554,1488403604754,1488403603023
6,6,1,4,1,3,4,1488403622088,-1,1488403621589
6,6,2,4,1,3,7,1488403625155,-1,1488403624625
6,6,3,4,1,3,2,1488403628189,-1,1488403627659
6,6,4,4,1,3,6,1488403631256,-1,1488403630725
6,6,5,4,1,0,2,1488403634322,-1,1488403633792
6,6,6,4,1,0,3,1488403637356,-1,1488403636859
6,6,7,4,0,0,4,1488403640423,1488403641590,1488403639892
6,6,8,4,0,0,3,1488403643457,1488403644625,1488403642959
6,6,9,4,1,0,5,1488403646523,-1,1488403645994
6,6,10,4,0,0,6,1488403649557,1488403652057,1488403649059
6,6,11,4,1,0,1,1488403652623,-1,1488403652092
6,6,12,4,0,1,3,1488403655657,-1,1488403655160
6,6,13,4,0,1,5,1488403658724,-1,1488403658193
6,6,14,4,1,1,6,1488403661791,1488403663091,1488403661260
6,6,15,4,1,1,1,1488403664824,1488403665891,1488403664297
6,6,16,4,1,0,6,1488403667891,-1,1488403667360
6,6,17,4,1,0,0,1488403670924,-1,1488403670426
6,6,18,4,1,0,4,1488403673992,-1,1488403673460
6,6,19,4,1,0,2,1488403677058,-1,1488403676527
6,6,20,4,1,0,3,1488403680092,-1,1488403679561
6,6,21,4,0,1,0,1488403683158,-1,1488403682628
6,6,22,4,0,0,1,1488403686192,1488403687159,1488403685695
6,6,23,4,1,0,0,1488403689259,-1,1488403688728
6,6,24,4,0,1,3,1488403692292,-1,1488403691761
6,7,1,1,1,3,4,1488403698827,-1,1488403698293
6,7,2,1,1,0,3,1488403701893,-1,1488403701363
6,7,3,1,1,0,2,1488403704926,-1,1488403704396
6,7,4,1,1,1,2,1488403707993,1488403708860,1488403707462
6,7,5,1,1,1,2,1488403710994,1488403712194,1488403710496
6,7,6,1,1,0,1,1488403714027,-1,1488403713530
6,7,7,1,1,0,7,1488403717094,-1,1488403716563
6,7,8,1,1,1,7,1488403720160,1488403721228,1488403719630
6,7,9,1,1,0,2,1488403723227,-1,1488403722696
6,7,10,1,1,0,5,1488403726261,-1,1488403725730
6,7,11,1,1,0,3,1488403729294,-1,1488403728764
6,7,12,1,1,0,2,1488403732361,-1,1488403731830
6,7,13,1,1,0,7,1488403735428,-1,1488403734897
6,7,14,1,1,1,7,1488403738495,1488403739529,1488403737965
6,7,15,1,1,0,4,1488403741529,-1,1488403741031
6,7,16,1,1,0,2,1488403744595,-1,1488403744066
6,7,17,1,1,1,2,1488403747662,1488403748729,1488403747131
6,7,18,1,1,0,3,1488403750696,-1,1488403750165
6,7,19,1,1,1,3,1488403753730,1488403754696,1488403753232
6,7,20,1,1,0,6,1488403756796,-1,1488403756265
6,7,21,1,1,0,5,1488403759796,-1,1488403759299
6,8,1,2,1,3,0,1488403765196,-1,1488403764664
6,8,2,2,1,3,6,1488403768263,-1,1488403767732
6,8,3,2,1,0,7,1488403771297,-1,1488403770766
6,8,4,2,1,2,7,1488403774364,-1,1488403773834
6,8,5,2,1,0,3,1488403777397,-1,1488403776900
6,8,6,2,1,2,3,1488403780464,-1,1488403779933
