%Recollect Version 2.3. Scene/Level: , Session: 21, GameNumber: 5
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1488402658341,1488402665906
1,1,34,34,0,1488402666908,1488402673207
2,0,52,52,0,1488402696109,1488402702508
2,1,36,36,0,1488402703510,1488402710909
2,2,368,368,0,1488402711877,1488402719909
2,3,208,208,0,1488402720911,1488402729543
2,4,2306,2306,0,1488402730544,1488402741210
2,5,5047,5047,0,1488402742213,1488402753144
2,6,41075,41075,0,1488402754146,1488402767112
2,7,31620,31620,0,1488402768113,1488402781612
2,8,281376,281376,1,1488402782615,1488402811781
2,9,816508,8165208,1,1488402812783,1488402850246
2,10,4806317,4806137,0,1488402851247,1488402876280
2,11,0851680,8051608,0,1488402877282,1488402894415
3,0,60,06,0,1488402901850,1488402908415
3,1,24,42,0,1488402909419,1488402916549
4,0,51,15,0,1488402919951,1488402926316
4,1,37,73,0,1488402927286,1488402933584
4,2,630,036,0,1488402934552,1488402942417
4,3,580,085,0,1488402943419,1488402951751
4,4,5683,3865,0,1488402952753,1488402963319
4,5,2841,1482,0,1488402964320,1488402974086
4,6,47812,21874,0,1488402975088,1488402988421
4,7,03415,51340,0,1488402989421,1488403003988
4,8,507613,316705,0,1488403004989,1488403020522
4,9,073280,,0,1488403021524,1488403046223
4,10,4083671,1763804,1,1488403047259,1488403078758
4,11,8027308,8037842,1,1488403079760,1488403108127
4,12,52480873,,0,1488403109128,1488403142028
4,13,41807263,3670824,0,1488403143064,1488403164930
