%Recollect Version 2.3. Scene/Level: , Session: 20, GameNumber: 5
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1488391463962,1488391470727
1,1,34,74,0,1488391471730,1488391480328
2,0,52,52,0,1488391487264,1488391493395
2,1,36,36,0,1488391494398,1488391500262
2,2,368,368,0,1488391501231,1488391508997
2,3,208,208,0,1488391509965,1488391517997
2,4,2306,2306,1,1488391518965,1488391533131
2,5,5047,5047,0,1488391534099,1488391544792
2,6,41075,41075,0,1488391545761,1488391557926
2,7,31620,31620,0,1488391558928,1488391570993
2,8,281376,281376,0,1488391571962,1488391585594
2,9,816508,816508,0,1488391586563,1488391603229
2,10,4806317,0483617,0,1488391604230,1488391619665
2,11,0851680,0851680,0,1488391620664,1488391637865
2,12,47081536,40781526,0,1488391638866,1488391659865
2,13,25408016,25480601,1,1488391660867,1488391694168
3,0,60,06,0,1488391700836,1488391707834
3,1,24,42,0,1488391708836,1488391714669
4,0,51,15,0,1488391723137,1488391729135
4,1,37,73,0,1488391730137,1488391736670
4,2,630,036,0,1488391737638,1488391745237
4,3,580,085,0,1488391746205,1488391754104
4,4,5683,3865,0,1488391755106,1488391764937
4,5,2841,1482,0,1488391765906,1488391775671
4,6,47812,218734,0,1488391776675,1488391791206
4,7,03415,51430,0,1488391792207,1488391804011
4,8,507613,316820,0,1488391804975,1488391819107
4,9,073280,08273,0,1488391820076,1488391835375
