%Recollect Version 2.3. Scene/Level: , Session: 20, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1488390103206,1488390106209,1488390111661
1,G4,G,4,1488390113224,1488390116192,1488390123647
2,3W5,,35,1488390125174,1488390129676,1488390134028
3,T7L,L,37,1488390137059,1488390141560,1488390145914
4,1JA,AJ,1,1488390148942,1488390153444,1488390158110
0,L2,L,2,1488390163410,1488390166412,1488390170329
1,6P,P,6,1488390171860,1488390174862,1488390178432
2,B5,B,5,1488390179961,1488390182962,1488390186811
3,F7L,FL,7,1488390188344,1488390192846,1488390198607
4,R4D,DR,4,1488390200128,1488390204631,1488390209538
5,H18,H,18,1488390211062,1488390215564,1488390219688
6,T9A3,AT,39,1488390221213,1488390227215,1488390232180
7,V1J5,JV,15,1488390233714,1488390239716,1488390244467
8,7N4L,LN,47,1488390245998,1488390252000,1488390260482
9,8D6G1,DL,146,1488390262015,1488390269517,1488390281200
10,K2C7S,CK,67,1488390282733,1488390290235,1488390314618
11,5P3Y9,PY,359,1488390316118,1488390323620,1488390332081
12,M4E7Q2,MQ,2347,1488390333603,1488390342604,1488390362144
13,W8H5F3,FPW,348,1488390363671,1488390372673,1488390404161
14,6G9A2S,GSW,169,1488390405690,1488390414692,1488390467560
