%Recollect Version 2.3. Scene/Level: , Session: 20, GameNumber: 4
%D2:Row,lastInteractedCharacter,Ht,Ms,FA,CR,Sequence,Responses
0,37,16,1,0,21,cgecgpbbjoaapbnooecaepbcjggnaccbjpnfabnnnabacggb,100100110011010000110011000001110000110000000000
1,38,17,1,1,20,ebocajldajnpgkbcaoabgkdcclbahjccjmoobabmboaboima,010010001000001110110011101100110000111000000000
2,38,20,0,1,18,kbcgadabnjpcicaeabbccnljmbebalilajciacddgonedjac,011010110001011011111000010110001010111000000000
3,38,19,0,1,19,jmcdbacalebcfgakaimkbcbahbpcpambemjcedcfgikiabfb,001011110011001010001111010101011001001000000000
4,38,16,2,1,20,bghheamcajcbbakancklhjbmhcchdoaglcdjabbbnnnacgoc,100001011011110101000010010100100100101000000000
5,35,14,1,2,19,lcfbcbmfkjaiabpcdaddhdpjabcphkkcgkbalocbacjhjbbc,110111000010110101001000011000010011000000000000
6,33,13,2,1,18,dbgcaaldbcekkfbafjgcebejpaohccmeabbacapckaooogpb,010111011100001100010100010001000100000000000000
7,35,16,0,0,20,lbdeamocmabmlchnlmbakjpcjappcbmcbnaakjpcbgmbncca,010010010110010000110001010011011011000000000000
8,36,16,0,0,21,gackoobeahllkhhijcbnbfaacjcjbpcmgcgbbakajfgabacg,011000101000000001101011101010100101100000000000
9,32,16,1,3,13,bcgcnhakifgbaojcbcihgabegkaablcacmbehgcbhdfaomfb,111100100011100111000111000110111000000000000000
10,32,14,0,1,18,fgbfbclacpjogaogaddcbhdobcfacjjkahbaggcgbopbcfba,001011011000010010011010110110001000000000000000
11,35,18,0,1,17,fbanaebcgmjccnaagdopcmfbbjabgcebdceaoiceadmobclj,011010110001101100001001101101010111000000000000
