%Recollect Version 2.3. Scene/Level: , Game Number: 005
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1486430029849,1486430037081
1,1,34,34,0,1486430038083,1486430044081
2,0,15,15,0,1486430052917,1486430059015
2,1,73,73,0,1486430060017,1486430066116
2,2,164,164,0,1486430067118,1486430076250
2,3,705,705,0,1486430077252,1486430085384
2,4,2173,2173,0,1486430086352,1486430096785
2,5,1504,1504,0,1486430097786,1486430107219
2,6,42350,42350,1,1486430108220,1486430121319
2,7,24061,24061,1,1486430122321,1486430137453
2,8,061743,067134,0,1486430138456,1486430152454
2,9,625037,625037,0,1486430153457,1486430167322
2,10,7152305,7152305,0,1486430168290,1486430184722
2,11,3157264,3157264,0,1486430185724,1486430201956
2,12,64527631,64527631,0,1486430202958,1486430222826
2,13,05631742,05631742,0,1486430223827,1486430241826
2,14,164751743,16475374,0,1486430242827,1486430265261
2,15,2084365170,2084365170,0,1486430266262,1486430289612
3,0,60,06,0,1486430298048,1486430304213
3,1,24,42,0,1486430305216,1486430311313
4,0,25,52,0,1486430314982,1486430320614
4,1,63,36,0,1486430321583,1486430327580
4,2,574,475,0,1486430328582,1486430337948
4,3,207,702,0,1486430338950,1486430348648
4,4,7305,5037,1,1486430349650,1486430362016
4,5,4130,0314,0,1486430363018,1486430373617
4,6,35741,14753,0,1486430374618,1486430388017
4,7,70526,62507,0,1486430389019,1486430405018
4,8,607251,152706,0,1486430405987,1486430421986
4,9,270643,346072,0,1486430422988,1486430438053
4,10,0416327,7236140,0,1486430439055,1486430455354
4,11,5632041,1402365,0,1486430456356,1486430475255
4,12,48256132,3168452,1,1486430476257,1486430509591
4,13,04523765,5637520,0,1486430510593,1486430538826
